Movie_Id,character_name,character_description,protagonist,voice_only,Actor_Id
27625,Snaptags,iterate killer architectures,0,0,75195
62872,Trupe,generate vertical communities,0,0,90303
79387,Fiveclub,reinvent dynamic systems,1,0,97191
53764,Oyoyo,incentivize user-centric eyeballs,1,0,47207
3353,Twimbo,enhance end-to-end schemas,0,0,37419
35785,Browsetype,visualize customized portals,1,1,93636
77819,Gigabox,envisioneer impactful e-commerce,1,1,92517
3944,Trilith,productize wireless niches,0,1,95634
66973,Topiclounge,recontextualize dynamic initiatives,0,0,38179
34204,Aibox,facilitate transparent content,1,1,43439
6472,Skibox,repurpose ubiquitous ROI,0,0,96155
58081,Youspan,redefine intuitive users,0,0,87324
81128,Mudo,expedite dynamic relationships,0,0,18318
54986,Wordware,utilize seamless e-business,0,1,3455
64950,Jaxnation,utilize one-to-one methodologies,0,1,42017
17251,Kwimbee,optimize next-generation web-readiness,0,1,30582
11660,Centimia,enhance magnetic interfaces,0,0,91691
56152,Babblestorm,transition distributed ROI,0,0,16395
9680,Blogspan,productize synergistic platforms,0,0,98712
41936,Camimbo,visualize real-time synergies,0,1,41833
17566,Podcat,incentivize integrated deliverables,1,1,32483
71169,Browsetype,cultivate user-centric platforms,1,0,68206
38778,Fivechat,grow mission-critical solutions,0,1,53193
16458,Feedbug,orchestrate B2B channels,0,0,66409
6948,Youfeed,synthesize value-added infomediaries,0,0,24547
35063,Shufflester,incubate cutting-edge synergies,1,1,46902
83063,Edgeify,revolutionize extensible markets,0,1,19640
30232,Quamba,integrate synergistic mindshare,1,0,72158
27748,Katz,scale distributed convergence,1,0,69232
79178,Mudo,drive transparent e-services,0,0,90416
58280,Jamia,matrix transparent initiatives,1,1,38097
42098,Rhynoodle,monetize compelling channels,0,1,92266
58327,Devshare,empower dot-com solutions,1,0,35457
62602,Skinder,evolve cross-platform systems,1,0,34317
28728,Twimm,disintermediate integrated content,1,1,92286
31979,Topiczoom,expedite strategic vortals,1,0,63932
67587,Blogpad,exploit cross-media functionalities,1,1,22874
10721,Brainsphere,benchmark cross-platform functionalities,0,0,8016
18721,Gevee,visualize next-generation convergence,1,0,74217
16301,Voomm,reintermediate wireless convergence,1,1,27996
69886,Agivu,recontextualize scalable e-business,0,1,10771
85545,Yakijo,grow holistic platforms,1,1,76339
16048,Abatz,cultivate intuitive web-readiness,0,0,38386
38473,Ntag,embrace wireless technologies,0,0,7301
62078,Feedfire,scale scalable action-items,0,1,23697
72718,Yakidoo,innovate enterprise synergies,1,1,59303
78910,Oba,synthesize bricks-and-clicks convergence,1,0,76667
36104,Abata,utilize mission-critical action-items,1,0,91271
1674,Babblestorm,mesh holistic niches,1,0,82412
48049,Vidoo,engineer ubiquitous metrics,0,0,68097
96191,Quaxo,e-enable ubiquitous interfaces,1,0,51242
45114,Edgeify,aggregate integrated infomediaries,1,1,87189
10675,Jaxworks,integrate scalable experiences,1,1,68215
74567,Topicshots,grow cross-platform functionalities,0,1,46539
80019,Wikivu,deploy sticky web-readiness,0,1,81810
59508,Dabvine,visualize visionary web services,1,1,32625
58926,Yozio,empower cross-media e-tailers,0,0,17672
42902,Bluezoom,incentivize distributed applications,0,1,4969
69697,Meeveo,matrix plug-and-play networks,0,0,18469
8057,Flashpoint,transition enterprise synergies,1,0,20012
72061,Youtags,whiteboard compelling models,1,0,33411
56295,Kanoodle,empower B2B synergies,1,1,85559
53373,Skyba,generate impactful partnerships,0,1,87937
24223,Flashset,evolve extensible models,1,1,38309
61099,Thoughtbeat,mesh end-to-end synergies,0,1,78644
19781,Jaxbean,leverage value-added initiatives,0,0,40963
15864,Wordware,engineer web-enabled synergies,1,1,45176
71,Rhynoodle,integrate robust web services,0,0,47648
37397,Skaboo,aggregate global vortals,1,1,82009
76086,Topicshots,scale synergistic experiences,1,0,83955
19970,Mydo,enable next-generation e-commerce,0,1,45131
58033,Eidel,exploit impactful users,0,1,51283
84309,Voonder,morph turn-key action-items,0,0,54609
59968,Bubblebox,iterate web-enabled markets,1,1,15068
7246,Zooveo,implement rich e-markets,1,1,32531
52236,Tagpad,strategize vertical models,1,1,63778
21190,Layo,disintermediate B2C paradigms,0,0,28424
14481,Bubblemix,integrate 24/7 niches,1,1,34215
59771,Ozu,leverage distributed mindshare,0,0,56924
39549,Camido,transform ubiquitous mindshare,0,1,2788
