Movie_Id,Genre_Id
62707,230
9875,92
33696,113
37379,100
32568,82
18340,181
54228,43
69723,104
61582,114
872,235
28686,194
40160,163
77716,130
74236,94
65249,20
34444,151
21017,25
38803,137
35881,66
4099,29
46666,171
63016,120
5978,58
13011,100
2276,106
11470,237
59155,187
41170,183
79475,18
40087,71
50267,100
40613,6
42881,182
67002,77
8871,65
78119,94
82430,237
11270,47
47169,165
65120,230
27516,49
38293,59
21905,214
46393,27
89576,13
43281,164
28284,96
74861,88
95516,180
56741,228
67376,58
472,68
58074,64
61988,67
74555,123
47877,71
40198,216
24124,74
40412,199
32660,172
15025,188
39677,94
16970,222
44925,93
36342,202
82064,59
5459,69
9187,9
852,67
95580,87
49365,104
37528,77
15594,168
28202,24
2106,8
75217,146
36946,194
77569,159
15039,180
40255,11
63604,197
24201,151
70425,109
81216,2
91895,194
41678,169
33549,8
68727,218
14623,235
87214,68
19300,223
39147,13
63613,44
83950,31
56056,162
9382,109
9977,133
96213,4
23521,42
69872,79
16683,239
56163,229
41841,215
74818,108
82570,75
74457,146
9575,29
19811,36
26924,70
38378,140
22430,217
72733,236
54942,220
44523,100
61998,168
65150,50
92852,154
43375,213
66378,157
32498,196
96812,141
76835,163
70900,4
56076,78
26157,134
49949,63
96108,150
196,214
82057,234
69427,177
75649,82
93688,108
56263,222
42920,177
6634,137
69374,190
62564,68
88524,22
53153,68
6287,65
17481,174
41673,210
67916,69
39766,123
25900,230
63845,221
73510,13
70878,221
78157,38
82986,9
7909,143
17633,22
49461,213
46820,157
64564,91
45467,190
53874,205
18592,196
49050,150
38513,32
39636,116
73176,74
13350,117
93669,244
1118,56
22854,185
11952,89
32213,122
92489,84
15282,166
66776,240
54546,2
2347,4
3578,116
56221,217
16815,129
87674,153
80344,59
37016,239
27072,29
73347,211
37880,3
20480,133
42447,204
95222,19
87933,230
10300,240
77469,16
85952,31
59920,163
91324,154
49334,182
50410,179
45612,168
74574,17
62190,189
95707,50
77546,111
33343,188
453,16
66313,3
42897,43
11461,37
14917,195
83097,162
51426,76
16984,186
63022,158
42261,2
68914,92
92962,98
23618,98
24982,43
49677,117
28208,148
14361,10
88431,193
37140,26
1759,64
11583,120
7121,172
19232,217
33026,186
64290,197
48662,146
32082,25
56044,112
55507,127
39347,132
34864,112
594,215
58721,95
77317,224
42619,101
35244,173
77589,243
79082,209
49694,147
39541,175
64821,166
69242,24
91712,174
79908,226
19277,47
13815,59
56554,168
92192,129
83402,142
35412,206
88198,118
40405,51
44332,186
94464,49
37367,49
61399,241
22784,206
86257,72
30356,69
43731,228
51448,163
618,143
22494,147
10006,1
25465,73
60533,57
54737,203
25766,209
28011,18
55056,136
21875,47
27709,6
35330,16
34867,124
58641,80
76905,242
16256,141
24570,182
78089,112
7553,178
53106,220
32140,42
77528,28
2735,141
70887,4
43823,51
73450,43
56607,93
23187,198
26739,97
40718,3
44901,47
22113,27
43861,240
3686,100
41757,162
25238,227
12866,196
73272,80
86726,115
60237,125
76248,166
11801,193
22635,197
9282,19
10300,177
2097,71
45087,44
21595,137
11423,85
69125,169
73502,220
52098,213
67954,43
73644,11
18017,108
76438,179
80071,11
32998,52
95656,204
22324,18
90393,93
68756,218
82294,176
58428,215
44256,61
3363,158
38808,23
34989,38
30050,242
39659,204
33930,187
36842,74
41155,166
72836,204
63100,109
85083,156
95780,3
90310,184
53459,101
39001,147
6451,75
48487,140
2028,226
65310,52
74956,158
81990,60
20194,238
5362,242
66496,230
50384,57
17311,68
9454,155
12300,153
83519,105
80588,12
96613,219
46318,102
86521,227
29319,167
89567,101
86438,198
2046,6
61615,38
47667,116
27410,139
57065,63
2075,60
74295,135
33215,193
54613,150
8519,237
81727,49
22288,31
8938,42
94772,23
86042,113
43310,93
7889,13
27238,3
81694,13
77416,217
4270,213
25031,192
64963,101
94653,97
10949,128
5051,3
32226,118
73601,217
16854,52
77641,76
54860,222
82569,45
80689,5
52363,26
30166,122
83738,36
22001,28
90045,80
35307,160
86806,66
86648,155
22718,218
23898,1
31483,43
37273,179
17878,11
65027,114
25609,4
76452,138
44478,110
73720,110
18230,201
80633,90
60669,169
49761,92
49641,59
95045,97
67263,97
52697,33
12050,226
41326,240
19265,112
59805,38
53078,215
25484,97
44153,83
40276,3
11655,30
54195,100
56688,162
74840,153
36340,173
48022,59
63486,190
64264,35
94915,190
96738,173
36200,104
45713,24
9227,154
45324,195
66920,190
34146,93
82735,60
67989,95
71342,56
34050,66
52064,240
5557,146
11063,119
6853,131
20546,139
20240,191
26874,89
62727,30
65454,90
89442,135
29795,30
77905,33
44771,207
74442,230
59345,87
88207,142
24707,207
21063,65
37232,63
8581,243
51551,163
20856,235
93734,185
26298,8
14231,134
87849,161
19348,42
54428,225
68741,17
89648,88
87231,126
84638,215
33433,194
33173,243
58822,167
24722,146
27850,11
93154,133
9128,40
64061,172
10172,75
89328,198
15457,7
91576,194
23458,98
89533,56
63496,108
10142,187
86502,208
52961,30
35556,1
75436,209
96952,49
22913,85
21820,39
59887,37
18686,233
48461,102
88311,118
18468,209
62535,53
87971,68
24309,43
18489,40
8832,18
43485,45
65308,116
48200,74
93627,172
4833,24
7859,132
92460,28
46191,164
31704,93
84512,79
94375,171
46645,185
58167,17
89954,79
82662,73
78147,106
14333,183
64167,147
88736,237
23274,4
6301,212
59699,188
45622,238
40949,195
28140,142
50871,8
81609,184
65737,15
89880,94
21661,3
17307,96
38939,41
15671,170
64380,221
89309,219
3679,99
74780,242
91097,212
90482,231
71996,154
36248,52
2198,205
75085,14
17626,16
13450,164
10653,229
59054,29
84360,96
51101,198
40318,234
49969,44
23795,29
35683,210
91215,159
65180,226
38223,113
18276,218
7006,192
89545,41
71656,158
47587,18
67835,14
2239,16
55764,221
24837,184
8168,36
54607,88
78645,225
34828,129
78351,63
54812,191
78090,147
65427,204
9580,40
76093,141
69634,157
92606,205
9226,5
43244,205
38700,184
33718,166
28218,10
42273,9
40907,219
57659,111
73319,43
47706,76
10998,161
11972,136
76642,189
53913,232
77810,161
34155,40
20246,156
41,125
76927,161
94823,33
77381,205
23461,183
55337,167
95129,100
12216,197
90203,203
55642,95
32349,13
56942,22
20889,115
53010,31
16669,31
64588,87
77699,167
93881,76
12827,54
31642,237
55974,38
58590,147
75716,11
13749,227
81653,226
5930,65
87230,16
76626,242
71143,39
70937,28
55792,27
70930,223
24547,159
57463,2
68814,18
63064,216
80063,33
62268,189
73352,73
20545,121
18576,49
6513,131
44403,79
92172,7
56787,19
93706,111
77596,200
49026,132
87262,5
67438,189
36101,73
85384,167
77182,199
72905,26
46833,230
49093,89
