Movie_Id,character_name,character_description,protagonist,voice_only,Actor_Id
27243,Thoughtstorm,e-enable plug-and-play web-readiness,0,1,82474
91249,Innotype,deliver impactful interfaces,0,1,93078
25891,Avavee,deliver plug-and-play deliverables,0,1,31349
87084,Trudeo,benchmark granular interfaces,0,0,15724
7971,DabZ,whiteboard collaborative partnerships,1,1,93096
93365,BlogXS,evolve robust networks,1,0,50859
23652,Zooxo,drive killer convergence,1,0,71122
86163,Realpoint,benchmark e-business e-services,0,0,90342
74258,Mynte,monetize impactful networks,1,0,5889
31677,Topicblab,morph B2C channels,1,0,16914
56602,Voonder,engage value-added applications,1,0,44272
81139,Voonix,disintermediate sexy vortals,1,0,16751
74239,Shufflebeat,reinvent global solutions,0,1,79048
54898,Skippad,e-enable dynamic supply-chains,0,1,38435
69446,Yakijo,unleash clicks-and-mortar e-tailers,1,0,6274
26914,Jabberbean,empower holistic e-business,0,0,53127
83854,Vinte,whiteboard 24/365 channels,1,1,47358
68132,Realfire,transform front-end action-items,1,0,64833
48349,Wikizz,drive virtual synergies,1,1,37443
67835,Skyndu,seize 24/7 web-readiness,1,0,5832
82423,Ntags,reinvent seamless supply-chains,0,0,43511
5917,Bluejam,recontextualize vertical experiences,1,0,72795
94999,Digitube,utilize B2C schemas,0,0,47588
13331,Devshare,brand best-of-breed content,1,0,12397
14692,Innotype,disintermediate virtual solutions,0,1,70355
88578,Geba,benchmark sticky synergies,1,0,86381
13030,Trudoo,envisioneer open-source platforms,0,0,84978
13301,Jabberstorm,brand bleeding-edge users,0,1,91112
68195,Feedspan,mesh clicks-and-mortar functionalities,1,0,26132
25116,Buzzshare,generate front-end markets,0,0,89514
78740,Gigashots,synergize impactful applications,1,1,83808
90559,Snaptags,whiteboard wireless platforms,1,1,65284
42858,Photofeed,utilize front-end eyeballs,1,0,85747
52032,Lazz,disintermediate sexy platforms,0,1,98947
55863,Skivee,extend impactful technologies,1,1,92106
47054,Jaxworks,empower value-added web-readiness,1,0,35711
90601,Pixonyx,embrace leading-edge relationships,1,0,24908
55956,Skyba,scale cross-platform schemas,0,1,71743
19184,Quinu,implement global models,0,1,84245
36126,Realcube,optimize strategic channels,1,0,35774
76138,Kazu,utilize dot-com vortals,1,1,27117
73537,Meedoo,empower dot-com platforms,0,0,86649
24319,Mymm,whiteboard user-centric networks,0,0,16252
32383,Twitternation,e-enable bleeding-edge synergies,0,0,26679
7502,Youbridge,synthesize 24/365 communities,0,1,33574
64550,Jabbertype,empower impactful markets,1,0,58455
21405,Photofeed,grow turn-key infomediaries,1,1,82108
85861,Yata,revolutionize holistic web services,1,1,16856
59100,Oloo,reintermediate one-to-one ROI,1,1,41066
87645,Twinte,matrix impactful infomediaries,1,0,44231
54196,Wikido,incubate e-business applications,0,1,1801
40450,Devshare,maximize impactful applications,0,1,68900
72237,Riffpath,generate strategic infomediaries,1,0,71135
66990,Mynte,recontextualize frictionless systems,0,1,69505
24911,Cogibox,enable best-of-breed e-services,0,0,54332
87166,Jabberbean,grow efficient partnerships,1,0,18318
88979,Yamia,generate value-added vortals,0,0,34071
4282,Avamm,repurpose turn-key infrastructures,1,0,87657
61763,Dynabox,syndicate strategic solutions,0,1,67838
7985,Jetwire,brand best-of-breed infrastructures,0,0,9590
93851,Zoombeat,disintermediate B2B e-commerce,1,1,33494
36740,Dabjam,reintermediate value-added e-business,1,0,86570
29915,Quatz,utilize sticky e-markets,0,1,68512
68442,Talane,deploy scalable applications,1,0,79134
23051,Browsetype,maximize intuitive partnerships,0,0,5799
13342,Yakijo,synergize 24/7 vortals,0,0,25154
44327,Devpoint,engineer user-centric infrastructures,0,1,48548
10650,Realblab,expedite magnetic portals,0,1,9127
4765,Midel,monetize out-of-the-box e-business,1,1,73840
52308,Yakijo,redefine collaborative bandwidth,1,1,97096
81291,Leexo,syndicate vertical users,0,0,92502
8472,Skinix,grow wireless technologies,1,1,6331
41254,Riffpedia,aggregate sticky action-items,1,0,54294
26665,Bubblemix,engage intuitive paradigms,1,1,96115
32438,Photofeed,empower vertical bandwidth,1,1,6135
83267,Janyx,empower cross-platform supply-chains,0,1,97654
6646,Yadel,monetize customized e-business,0,0,58971
50265,Wordtune,matrix distributed relationships,1,0,29092
96858,Twitterlist,disintermediate intuitive functionalities,1,0,91755
61082,Photobug,deploy proactive channels,0,0,29755
20380,Eayo,incentivize synergistic functionalities,1,1,244
6105,Devify,deliver killer web-readiness,1,1,48636
30853,Gabtype,maximize global technologies,1,1,413
83264,Bluezoom,redefine extensible convergence,1,1,90004
32340,Eadel,disintermediate mission-critical bandwidth,0,0,75223
34160,Jetpulse,optimize interactive e-business,1,0,94413
32320,Aimbu,optimize viral relationships,0,0,11986
94013,Bubblebox,engage front-end content,1,1,97696
61532,Linklinks,unleash efficient e-business,1,1,33801
68399,Cogibox,harness vertical deliverables,1,1,1938
27382,Plambee,innovate compelling architectures,0,0,81016
56627,Babblestorm,implement virtual vortals,0,0,62811
15549,Plajo,implement revolutionary markets,0,1,89647
