title,year,lenght,sinopsis,description,Country_Id,Director_Id
Community Development,1766,1:29 AM,Igloo,optimize end-to-end e-business,45614,69154
Atmel AVR,1959,3:41 AM,Blood Typing,benchmark best-of-breed networks,34580,89587
BFD,1934,1:55 AM,VPN,maximize customized channels,53387,73496
JAX-RPC,1771,3:49 AM,Wellbeing,extend cutting-edge infrastructures,60920,51073
Passionate about work,1682,2:23 AM,CPE,engineer integrated e-tailers,19176,8599
NRP Instruction,1674,4:46 AM,KPI Implementation,engineer B2C convergence,30210,36999
Root Cause Analysis,1758,2:01 AM,JDBC,evolve holistic architectures,73896,14288
IBM Rational Rhapsody,1656,4:47 AM,Administrative Law,reintermediate distributed synergies,61292,18775
Target Costing,2017,3:30 AM,EGPRS,enable clicks-and-mortar experiences,98678,22922
FM200,1562,1:32 AM,Flash,disintermediate next-generation interfaces,18402,90892
EES,1746,1:11 AM,Time Series Analysis,leverage dynamic networks,6106,70626
FDA GMP,1666,4:29 AM,EBIT,repurpose interactive vortals,74454,82974
MRSA,1749,3:34 AM,eCTD,revolutionize 24/365 initiatives,98366,27433
PeopleSoft,1817,4:48 AM,Design Thinking,exploit sticky solutions,1035,96918
Middle Office,1721,1:22 AM,QPSK,reinvent killer platforms,42953,83422
PDM Works,1904,4:05 AM,CNC Machine,maximize clicks-and-mortar web services,4363,26586
PGP,1601,2:55 AM,TCL,incentivize B2B bandwidth,59182,68177
Information Assurance,1624,4:40 AM,Subcontracting,architect scalable methodologies,43909,53936
EBR,1993,1:23 AM,Middle Eastern Studies,e-enable interactive architectures,42784,13486
Media TV,1800,4:27 AM,JNDI,enable strategic methodologies,81583,98852
NLB,1969,3:18 AM,UCCE,e-enable cross-platform content,37835,10784
Music Production,1760,4:48 AM,FEM analysis,drive real-time users,55618,16415
JWICS,1551,1:55 AM,RNA Isolation,streamline granular systems,69763,5602
NCIC,1893,4:20 AM,Data Mining,generate value-added e-commerce,29623,74725
BCM,1880,1:22 AM,Sports Psychology,incentivize seamless bandwidth,94940,68299
Pumps,1740,4:21 AM,Biochemistry,implement distributed methodologies,84428,83968
HLASM,1625,2:38 AM,PFP,deliver synergistic e-services,5410,35804
PMC,1916,3:37 AM,HP uCMDB,iterate bleeding-edge mindshare,93652,2479
Process Simulation,2003,2:30 AM,P&amp;ID,incentivize dot-com networks,79871,56228
Tk,1899,2:21 AM,Home Care,strategize B2C experiences,12571,28438
Information Assurance,1689,1:17 AM,Flex,orchestrate open-source experiences,53863,92575
Natural Language Processing,1828,2:15 AM,IATA,expedite clicks-and-mortar metrics,97733,14410
DBVisualizer,1517,3:40 AM,Pneumatic Tools,whiteboard enterprise eyeballs,66003,66013
DBMS,1728,3:45 AM,Account Management,e-enable plug-and-play applications,2825,32216
Pro-IV,1759,3:37 AM,RHEL,cultivate value-added vortals,21543,3820
Public Speaking,1701,2:26 AM,Koine Greek,exploit end-to-end platforms,77696,726
IES VE,1691,4:06 AM,European Studies,incubate synergistic e-tailers,97420,73915
iPod,1959,2:38 AM,Toxicology,optimize next-generation methodologies,65548,96571
Appeals,1755,1:53 AM,Yeast,e-enable proactive supply-chains,34000,21713
Food Science,1662,3:58 AM,LPS Desktop,target bricks-and-clicks deliverables,63713,98445
VMware Server,1802,1:02 AM,DC-10,target enterprise networks,63901,81538
ODC,1533,3:01 AM,Supply Chain Optimization,iterate holistic vortals,37119,38680
Broadband,1503,1:21 AM,Yacc,benchmark global metrics,93547,75947
Mobile Marketing,1694,3:20 AM,Store Operations,repurpose compelling methodologies,75568,4340
Occupational Rehabilitation,1529,4:53 AM,MRI Software,whiteboard out-of-the-box experiences,37717,69863
Epigenetics,1943,4:10 AM,Backbone.js,incentivize customized experiences,57195,84591
Alternative Energy,1919,1:56 AM,Combined Cycle,redefine intuitive solutions,84285,93423
RTDS,1989,2:36 AM,WPA,repurpose dot-com e-markets,99438,157
WCSF,1606,3:13 AM,WCSF,harness cross-platform deliverables,34555,43727
1H NMR,2011,2:41 AM,UK Employment Law,orchestrate best-of-breed e-commerce,30175,74880
iHotelier,1651,2:20 AM,Snooker,enable 24/365 applications,7202,56489
Vascular,1570,3:08 AM,CXO,iterate granular niches,91620,82648
Nielsen Data,1916,4:50 AM,DLX,enable cross-platform networks,78260,10421
EPiServer,1565,1:25 AM,Attorneys,deploy revolutionary interfaces,198,94655
Active-HDL,1556,2:34 AM,Job Scheduling,aggregate magnetic e-business,60269,55051
TIG Welding,1721,3:50 AM,Yii,mesh B2C niches,9877,68111
Business Aviation,1902,1:27 AM,Zoning,disintermediate synergistic niches,61573,76725
RRIF,1523,2:48 AM,Compliance Oversight,empower open-source e-markets,2420,43351
Distribution Center Operations,1567,4:24 AM,Trimble GPS,transform viral channels,79686,74548
CTF,1868,1:00 AM,Ulcerative Colitis,drive innovative metrics,62557,38040
Luxury,1516,3:51 AM,Systems Analysis,streamline extensible infomediaries,50966,27266
Nanoparticles,1636,4:10 AM,WCB,productize global partnerships,67573,69560
Media Planning,1764,2:59 AM,HNI,facilitate intuitive e-tailers,36076,48748
Electricity,1817,1:16 AM,Xilinx ISE,deliver out-of-the-box content,21264,85478
MQSI,1806,4:39 AM,Bluetooth,visualize sexy deliverables,12574,32118
QINSy,1696,1:45 AM,Curriculum Development,whiteboard cutting-edge web services,74382,2426
IGMP,1702,2:58 AM,Visual Studio,matrix e-business technologies,30527,78331
MMI,1501,1:45 AM,DCM,cultivate user-centric partnerships,97451,40994
Ticket Sales,1994,1:46 AM,OMA,transition cross-media communities,73698,16566
End User Training,1728,1:29 AM,Sustainable Development,deploy sticky ROI,94481,84120
Multiplex PCR,1556,4:08 AM,Sports Management,scale 24/7 interfaces,90253,19134
EELS,1512,2:06 AM,CSI,reintermediate bleeding-edge solutions,96835,74795
PyGTK,1887,2:32 AM,Python,productize value-added web services,60862,63375
MCSA + Messaging,1574,2:53 AM,HBV,repurpose value-added e-tailers,70479,95348
CVD,1631,3:00 AM,Usability Testing,exploit collaborative methodologies,42484,98766
JSP440,1976,2:31 AM,Marketing Strategy,reinvent end-to-end functionalities,90816,97430
Custom CMS Development,1950,3:03 AM,MCITP,extend dot-com e-services,65583,59613
KBOX,1735,2:31 AM,Fashion Design,iterate mission-critical users,36090,94226
Xactly Incent,1625,1:21 AM,Humanitarian Assistance,unleash revolutionary applications,10185,69467
Digital Illustration,1729,3:37 AM,UCINET,morph granular niches,18296,48226
Digital Journalism,1815,2:49 AM,RRP,iterate strategic web-readiness,33343,4282
BDC,1783,4:03 AM,Aluminum,expedite leading-edge applications,74695,24278
iHistorian,1719,3:29 AM,Data Quality,evolve global eyeballs,16972,7625
Nonprofits,1959,1:51 AM,Skin,deploy frictionless metrics,65499,65734
Bhangra,1797,4:31 AM,Quantitative Analytics,engage visionary channels,98087,8109
QC 9.2,1868,2:08 AM,CRM,transition magnetic portals,18576,98970
XFOIL,1960,1:53 AM,Vocational Rehabilitation,disintermediate web-enabled applications,56788,91063
IBM XIV,1986,2:12 AM,Pygame,target 24/7 ROI,25164,96173
Radar,1589,3:16 AM,Credit,exploit world-class mindshare,89524,94560
MDF,1663,1:42 AM,Workforce Development,enable web-enabled platforms,96604,92623
Nuclear,1644,3:41 AM,KWP2000,enhance strategic relationships,34716,37176
WSRR,1786,3:31 AM,IES Virtual Environment,mesh next-generation eyeballs,74775,53772
Corporate Governance,1759,2:30 AM,VAS,scale innovative platforms,80727,53423
SAP-SD,1543,4:47 AM,DTC,extend B2C initiatives,46369,11312
Uniform Combined State Law,1902,4:15 AM,JBoss Application Server,empower strategic deliverables,30255,51380
FxCop,1866,1:50 AM,Executive Administrative Assistance,extend 24/7 users,87112,10375
LCD,1982,3:23 AM,HCM Processes &amp; Forms,brand collaborative interfaces,19209,21616
RMX,1766,2:28 AM,WAN,redefine 24/365 applications,74465,19740
LSAT,1729,3:49 AM,Type Design,repurpose dot-com mindshare,12615,78125
Boating,1588,1:05 AM,German,deliver visionary interfaces,24941,43035
NGP,2003,3:08 AM,NSIS,unleash web-enabled e-commerce,90839,39525
MHE,1847,3:49 AM,SRST,reinvent front-end e-commerce,36909,47950
10 Key,1770,1:23 AM,FX Spot,morph sticky relationships,22010,97896
Iyengar Yoga,1694,3:32 AM,NCQA,integrate transparent action-items,64515,61998
IVA,1895,1:05 AM,IVA,reintermediate granular portals,32971,72791
Ruby,2012,4:42 AM,PMAs,harness next-generation e-tailers,82331,34615
Lymphoma,1575,1:35 AM,Security Audits,mesh value-added mindshare,73187,41847
JDK,1662,4:04 AM,360 Feedback,drive innovative functionalities,23849,10340
Nanoparticles,2010,3:01 AM,Oligonucleotide Synthesis,architect integrated bandwidth,34143,30533
Biopharmaceuticals,1976,2:58 AM,21 CFR Part 11,unleash web-enabled supply-chains,95050,8199
Angel LMS,1834,2:47 AM,HtmlUnit,matrix synergistic metrics,22383,13377
Oracle SQL Developer,1601,3:32 AM,PDP,integrate distributed interfaces,96386,20471
Atomic Absorption,1672,3:35 AM,PMIS,transform B2B technologies,42139,27396
QLab,1561,1:09 AM,LDRPS,engage 24/7 bandwidth,23275,82964
Job Descriptions,1576,1:26 AM,Strategic Partnerships,deliver e-business communities,58899,20706
RTU,1814,2:15 AM,Wholesale Purchasing,grow killer users,11974,62291
LLDPE,1848,4:03 AM,WebLogic,architect impactful deliverables,30216,62351
MS Integration Services,1789,2:45 AM,PNF,extend scalable e-services,95409,49138
Long-term Customer Relationships,1682,4:22 AM,Quantitative Analytics,evolve user-centric e-tailers,92110,2444
Allen-Bradley,1987,4:39 AM,ISO 13485,orchestrate turn-key partnerships,2419,8155
Sports Play-by-play,1519,4:35 AM,Histology,grow user-centric infrastructures,17265,20172
Young Adult Literature,2009,4:39 AM,HBSS,transition plug-and-play markets,13296,29442
Earned Value Management,1514,2:08 AM,Visual Effects,deploy integrated e-services,14871,7684
Oceanography,1544,4:22 AM,CPAP,incentivize holistic infrastructures,3423,87048
Sponsorship,1923,4:40 AM,Oil &amp; Gas,generate frictionless partnerships,73082,40108
Hedge Funds,1718,4:15 AM,DLL,drive sexy architectures,100851,23027
Operational Due Diligence,1611,1:52 AM,PS3,recontextualize e-business initiatives,11319,55233
Licensing,1747,3:05 AM,Seismic Attributes,disintermediate bleeding-edge infrastructures,43976,3096
Chronic Illness,1882,3:22 AM,Mythology,mesh seamless relationships,37649,20091
FBO,1768,1:23 AM,Eye Tracking,strategize leading-edge niches,82382,75038
CST Microwave Studio,1719,1:07 AM,IVUS,visualize sticky e-services,6755,96364
FFIEC,1604,3:21 AM,SGW,synergize world-class paradigms,98218,80326
Copy Typing,1672,4:52 AM,Zooarchaeology,envisioneer transparent portals,9345,72305
Environmental Impact Assessment,1970,1:34 AM,Robotics,harness scalable infrastructures,41153,98937
Bootstrap,1630,4:03 AM,PDF Creator,synergize scalable technologies,67498,67497
Molecular Dynamics,1799,1:47 AM,Natural Resource Management,integrate 24/365 systems,51631,9593
User Research,1542,4:11 AM,Qt,enhance impactful deliverables,48243,42274
Valves,1633,2:34 AM,GMDSS,envisioneer user-centric markets,93718,68837
Ignite-UX,1641,3:36 AM,Euroclear,redefine synergistic web services,14109,94130
BFSI,2003,1:13 AM,Nanomaterials,synergize web-enabled e-business,50834,78450
TDMoIP,2008,2:17 AM,TJC,deploy end-to-end niches,9525,28545
DXX,1927,4:54 AM,HMIs,whiteboard cross-media web-readiness,87699,61223
Operating Systems,1646,1:27 AM,MVC,utilize viral applications,56884,93270
JBL,1834,4:17 AM,Data Integration,drive collaborative e-markets,30924,57117
IHE,1912,3:57 AM,Customer Acquisition,generate virtual applications,36413,44942
Erosion Control,1567,1:45 AM,Curriculum Design,synergize holistic content,69559,38089
CBCP,1998,4:26 AM,IBS,envisioneer B2B solutions,17028,36723
Technical Illustration,1505,3:00 AM,Furniture,embrace integrated bandwidth,66829,61156
IIS,1785,4:41 AM,Quality Auditing,morph synergistic e-tailers,10954,60108
Solvency II,1739,1:03 AM,TSRM,productize integrated initiatives,82725,63387
Japanese Language Proficiency Test,1875,4:04 AM,NMT,envisioneer B2B experiences,54191,5243
Major Gift Development,1593,2:39 AM,Medical Illustration,whiteboard end-to-end eyeballs,69955,51969
Psychosocial,1745,4:33 AM,KCS,synergize next-generation action-items,26994,49947
FSCM,1524,1:12 AM,Vascular,brand collaborative e-services,52798,40082
Sports Medicine,1721,2:44 AM,Pre-sales,aggregate global methodologies,89577,85191
Storage,1833,2:57 AM,Radio Broadcasting,harness cross-media partnerships,96216,44321
xSeries,1707,2:20 AM,VB5,strategize web-enabled interfaces,2291,44249
TSM Administration,1874,3:27 AM,EBP,reinvent intuitive supply-chains,71297,38132
Store Management,1902,4:51 AM,DMS-100,seize wireless action-items,88032,65919
UV coating,1608,3:26 AM,Buyers,implement bricks-and-clicks communities,21152,18836
Electrical Controls,1717,4:15 AM,FTPS,reinvent mission-critical partnerships,36706,29811
TFT,1966,1:14 AM,HDX,deliver e-business partnerships,53989,45666
Microsoft Word,1593,1:50 AM,RNC,leverage distributed systems,3218,16194
Team Management,1761,1:07 AM,Quality Patient Care,integrate vertical initiatives,59459,5458
XPDL,1873,1:50 AM,Keynote,reintermediate 24/7 partnerships,95224,92139
Kronos,1610,2:19 AM,Art Direction,architect open-source convergence,46899,15592
DVB-RCS,1998,4:03 AM,Ductwork,envisioneer viral architectures,76204,98990
Academic Advising,1642,1:57 AM,TV Distribution,whiteboard ubiquitous communities,85194,98844
HCAHPS,1709,2:05 AM,IBM Content Manager,matrix frictionless niches,50837,71636
Sales Effectiveness,1682,2:43 AM,NT 4.0,disintermediate bleeding-edge technologies,4232,20276
Food Processing,1642,4:43 AM,UVM,empower back-end networks,65307,95513
DJ,1634,2:44 AM,Organizational Design,seize next-generation portals,41863,11440
Judicial Review,1905,3:20 AM,ION Marketview,streamline granular e-services,19499,47835
Contact Centers,1628,3:07 AM,MCITP,synergize magnetic networks,57700,27497
WSIB,1923,4:47 AM,Galleries,cultivate frictionless convergence,29930,96205
Vulnerability Management,1543,4:19 AM,Volunteer Management,optimize clicks-and-mortar paradigms,1677,55612
HP Servers,1639,4:46 AM,Industrial Hygiene,repurpose visionary models,97299,7870
AC/DC,1524,1:31 AM,LCSH,syndicate out-of-the-box functionalities,8651,7057
TMW,1667,1:00 AM,Microsoft Certified Professional,cultivate e-business technologies,52058,2435
DMT,1727,3:07 AM,DBAccess,leverage distributed bandwidth,72329,72201
RFP,2005,3:12 AM,Strategy,synthesize front-end action-items,48204,92170
FGD,1796,3:27 AM,Gourmet,evolve scalable technologies,87445,17756
International Business,1828,3:41 AM,IEC 60601,brand enterprise models,46336,38056
PC Games,2001,2:33 AM,Liability,seize global networks,86986,42422
CMBS,1513,1:51 AM,GPON,leverage dot-com architectures,82611,64855
Wovens,1802,2:35 AM,Customer Service,implement synergistic synergies,1742,38778
Immigration Law,1939,2:28 AM,FCC License,repurpose innovative convergence,85007,26977
Zenworks,1677,2:53 AM,LP,visualize cross-platform convergence,27081,34254
TTP,1876,1:30 AM,Skin Care,utilize customized e-business,84066,9830
Xilinx ISE,1877,3:20 AM,Smart TV,incubate one-to-one paradigms,54687,59448
Brain Gym,1822,4:04 AM,Xara,morph transparent supply-chains,82712,24388
Radiology,1700,4:31 AM,Online Marketing,utilize holistic schemas,14846,48268
Brand Awareness,1622,2:58 AM,Product Launch,engage user-centric technologies,12788,81547
CTD,1681,1:17 AM,News Writing,streamline ubiquitous e-commerce,75313,78516
Numerical Analysis,1887,3:29 AM,QRadar,deploy seamless e-tailers,87123,66224
