title,year,lenght,sinopsis,description,Country_Id,Director_Id
Skin Care,1712,1:58 AM,DMX,leverage plug-and-play e-services,636,95102
IT Audit,1949,3:02 AM,FFIEC,incubate virtual vortals,63662,86322
IT Transformation,1779,3:22 AM,WLST,utilize value-added convergence,2571,9461
Jenkins,1708,4:22 AM,HFC,implement next-generation bandwidth,80848,17437
Bathrooms,1894,4:07 AM,X-ray,morph sticky experiences,68591,66616
Lustre,1682,3:30 AM,Wellbeing,architect impactful architectures,30386,49719
DVR,1528,2:49 AM,RMI,evolve global architectures,84295,73536
CWA,1956,3:04 AM,HR Metrics,synergize bricks-and-clicks vortals,85524,45535
Asset Management,1998,2:41 AM,Policy,transform mission-critical channels,28466,3648
Proposal Writing,1829,4:54 AM,PBASIC,unleash cross-platform infomediaries,70060,92208
RDFS,1546,4:43 AM,RPM,repurpose real-time infomediaries,29721,56619
3Com NBX,1687,2:36 AM,TMMi,transform killer technologies,70220,46520
DVB,1740,2:23 AM,CBEST,generate next-generation web-readiness,80580,86977
New Hire Orientations,1688,2:46 AM,Snoring,embrace best-of-breed ROI,82818,27473
Ukulele,1894,2:16 AM,HSQLDB,embrace sexy bandwidth,37301,34835
Professional Ethics,1839,1:23 AM,FM Radio,leverage global schemas,18246,98883
FSC Certification,1868,4:02 AM,FPSO,grow dot-com interfaces,18371,7228
User-centered Design,1632,3:31 AM,VMware Server,unleash collaborative e-services,7481,3477
Hydrology,1865,3:26 AM,Financial Mgmt,repurpose open-source e-markets,38618,14318
English,1841,1:11 AM,CA Unicenter NSM,visualize impactful methodologies,93052,43938
NDM,1621,1:39 AM,FrameMaker,deploy customized synergies,80558,54209
Commercial Banking,1606,2:35 AM,Partner Management,extend leading-edge functionalities,68939,85266
JIRA,1955,3:14 AM,IAS 39,expedite vertical web-readiness,31571,45717
TSYS,1889,4:03 AM,EU Law,mesh scalable infomediaries,73535,54067
Utility Systems,1819,1:30 AM,Pro-IV,implement innovative experiences,98105,90928
Online Reputation Management,1891,4:05 AM,HR Metrics,generate efficient models,92128,85746
Icon Design,1920,4:55 AM,Nursing Education,drive front-end applications,59324,51591
Shipbuilding,1881,3:54 AM,Valuation,matrix wireless e-commerce,21982,77233
European Languages,1860,2:48 AM,MBTI,maximize real-time e-services,12279,19794
Atomic Absorption,1565,4:40 AM,Psychological Testing,reintermediate e-business infrastructures,52160,60076
Supply Management,1586,2:15 AM,Glassfish,implement collaborative solutions,68002,47434
TDMA,1909,2:40 AM,Electronic Payments,maximize holistic bandwidth,42614,78092
CCP,1689,2:58 AM,Zimbra,syndicate dynamic users,786,27377
Mixed Signal,1827,3:08 AM,LN,unleash back-end markets,61459,5360
Recognition Awards,1793,1:11 AM,Volunteer Recruiting,engage plug-and-play solutions,67883,29856
HPLC,1551,4:07 AM,Embedded Systems,engineer customized applications,28433,28639
OCaml,1904,1:37 AM,GPC,integrate strategic bandwidth,96937,514
RHEL,1778,4:49 AM,Civil Society,benchmark enterprise technologies,80522,54891
iView,1552,2:35 AM,WPA,unleash cross-platform mindshare,93120,13950
Digital Video,1839,3:20 AM,SDK,disintermediate frictionless channels,55115,10510
Ion Implantation,1579,2:25 AM,Documentaries,iterate cross-platform communities,10754,88247
CSI,1507,3:09 AM,VXI,seize impactful supply-chains,42982,68158
Office Management,2016,4:15 AM,CPLD,redefine seamless applications,58838,5428
FCNSA,1531,2:51 AM,SQL*Plus,monetize mission-critical synergies,98674,5438
Guided Reading,1896,2:26 AM,NCIDQ,exploit bleeding-edge infrastructures,68396,44280
Integrated Circuit Design,1768,4:00 AM,HVAC,matrix ubiquitous synergies,72187,68206
LTSpice,1785,4:48 AM,Qlogic,matrix virtual platforms,84454,97603
WDF,1562,1:30 AM,Engineering Management,morph proactive convergence,85841,48207
Twill,1818,4:02 AM,Dreamweaver,enable ubiquitous initiatives,65099,96562
Star-CCM+,1759,1:18 AM,Creative Non-fiction,extend rich initiatives,50418,92735
FTIR,1957,1:47 AM,SS7,cultivate seamless web services,60919,19737
Mobile TV,1651,3:20 AM,Civil Aviation,implement rich metrics,99267,20911
Siding,1569,3:48 AM,Pharmacy,disintermediate intuitive metrics,35860,10301
PDO,1883,4:18 AM,Sports Coaching,monetize cutting-edge experiences,81982,16941
LNA,1973,1:19 AM,ETABS,monetize plug-and-play users,29718,27182
Sungard GMI,1668,2:44 AM,Aerial Cinematography,leverage turn-key web-readiness,88704,7090
Joint Ventures,1818,3:24 AM,TQM,syndicate granular systems,22484,4469
GDAL,1512,4:45 AM,RAN,grow integrated methodologies,26494,46379
HR Transformation,1787,3:19 AM,Curating,enable B2C relationships,20953,30832
Upstream,1504,1:32 AM,JNCIP,deploy revolutionary systems,26814,56709
USDA,1511,3:19 AM,Economic Policy,utilize revolutionary architectures,54173,57409
ELISA,1986,3:59 AM,Cell,visualize ubiquitous methodologies,25719,28290
Requirements Analysis,1521,2:42 AM,Online Marketing,recontextualize global e-commerce,63932,93468
Aerospace Manufacturing,1554,2:10 AM,UDP,strategize compelling infrastructures,64891,47088
Business Intelligence Tools,1894,2:50 AM,TTP,enhance user-centric schemas,12192,17364
EAI,1600,1:41 AM,TGA,syndicate turn-key users,88298,62665
UE,1868,3:25 AM,LPS Desktop,productize strategic applications,2932,64075
JSR 168,1969,4:39 AM,DCF Valuation,drive virtual e-services,17498,98378
TCR,2002,4:24 AM,Ulead VideoStudio,optimize synergistic technologies,74111,17543
Coastal Zone Management,1651,3:08 AM,MBS,disintermediate efficient portals,62139,37451
Koha,1746,2:10 AM,Weapons of Mass Destruction,orchestrate killer methodologies,34756,24086
Knee Pain,1829,3:58 AM,Company Set-up,harness cross-media ROI,20002,68463
CMS,1521,4:12 AM,Qik,deploy customized convergence,95150,61552
Virtualization,1979,2:31 AM,Literacy,utilize robust portals,85972,27501
CMOS,1987,4:39 AM,xSeries,innovate sexy web services,63365,92654
Nutrition,1637,3:04 AM,ISO 13485,syndicate seamless ROI,77689,74333
PKCS#11,1706,3:11 AM,Job Search Strategies,target next-generation relationships,87907,72434
Credit,1628,1:27 AM,AAC,morph intuitive deliverables,14359,93346
Capital Equipment Sales,1845,4:50 AM,GPIB,drive world-class technologies,67536,24658
Business Analysis,1867,1:17 AM,Plant Identification,innovate compelling infrastructures,44954,65788
WLI,1671,2:28 AM,Frame Relay,reinvent revolutionary convergence,22476,91328
Youth Development,1565,4:50 AM,iOS Design,empower intuitive eyeballs,70186,32540
Youth At Risk,1806,3:35 AM,Psychopharmacology,enhance 24/365 interfaces,23770,98984
GC-FID,1946,3:29 AM,BPH,reintermediate end-to-end eyeballs,14688,33800
Klarity,1984,1:19 AM,Mood Boards,drive visionary networks,61410,24452
Diabetes,1816,1:16 AM,Healthcare Consulting,brand wireless e-commerce,17554,8048
RPL,1798,3:20 AM,SNAP,redefine dot-com technologies,1036,37332
Siebel,1990,4:40 AM,LDPE,integrate one-to-one experiences,68765,36069
SDK,1808,3:47 AM,OMB A-123,engage front-end markets,48255,76833
Surgery,1921,3:30 AM,BSSAP,exploit clicks-and-mortar content,54307,96846
OGSYS,1657,4:24 AM,CFI,drive viral eyeballs,16504,95966
Windows Vista,1512,3:49 AM,Cyber-security,monetize clicks-and-mortar interfaces,58272,94403
Real Estate Transactions,1599,4:37 AM,Web Development,synthesize integrated experiences,9109,75815
RVs,1655,4:21 AM,Kubuntu,monetize strategic paradigms,98741,62097
Kronos Timekeeping,1728,3:02 AM,TM1,strategize global action-items,52555,65848
Xactimate,1698,4:58 AM,VDSL2,revolutionize integrated web-readiness,79184,64547
JScript,1978,4:08 AM,NHS,leverage seamless deliverables,71214,62524
XFOIL,1538,1:24 AM,Xinet,redefine robust action-items,17856,83637
Dual Diagnosis,1974,2:42 AM,Ethics,reintermediate cutting-edge e-business,57325,87295
Psychotherapy,1586,1:38 AM,DNSSEC,visualize bleeding-edge web-readiness,86983,19588
RFID+,1526,2:15 AM,RTLS,syndicate seamless e-commerce,19672,32646
Interviewing Skills,1877,2:52 AM,LLDP,reintermediate cross-media content,56682,57522
Web Services,1864,3:14 AM,Valves,redefine out-of-the-box initiatives,23954,58831
Amazon Kindle,1548,4:11 AM,WSIB Claims Management,target clicks-and-mortar infrastructures,79770,51517
Ubuntu,1782,2:22 AM,Highways,architect rich schemas,49446,50912
OSHA Certified,1522,3:25 AM,uC/OS-II,drive leading-edge networks,41667,714
ADP HRB,1921,2:24 AM,Grief Counseling,facilitate cutting-edge relationships,14495,24713
Waterfall,1951,1:19 AM,CTQ,empower interactive infomediaries,59232,53328
Nylon,1608,1:05 AM,RDI,revolutionize transparent partnerships,69890,69604
Military Experience,1745,2:51 AM,Foreign Policy,strategize bricks-and-clicks applications,93634,7112
Xactly Incent,1541,3:35 AM,Blackberry,empower value-added systems,61069,56122
European Affairs,1894,2:32 AM,XCAP,cultivate revolutionary metrics,43001,64237
EPM,1960,2:27 AM,WAN,e-enable ubiquitous models,95136,88342
ASME,1703,3:20 AM,PDE,revolutionize cross-platform eyeballs,56071,51381
Special Events,1818,3:50 AM,Aerospace,whiteboard rich schemas,23906,58380
DWDM,1587,3:21 AM,iBatis,engineer 24/7 convergence,92761,58455
Power Utilities,1928,1:03 AM,PDM,generate ubiquitous e-tailers,47720,49173
Snow Leopard,1846,1:10 AM,Functional Specifications,orchestrate vertical infrastructures,96473,66724
HR Strategy,1902,4:19 AM,Team Effectiveness,grow sexy schemas,74645,84627
SVOD,1720,3:10 AM,LDO,enable killer users,67854,34100
Underscore.js,1680,3:04 AM,OS X,architect strategic convergence,44526,86786
Sustainable Tourism,1614,2:05 AM,Oil Changes,engineer B2C communities,25114,28010
Football,1901,3:03 AM,Eclipse,e-enable 24/7 methodologies,91667,37807
Online Lead Generation,1726,4:52 AM,Footwear,integrate synergistic portals,7581,17579
Windows Server,1558,3:09 AM,Indoor Air Quality,syndicate synergistic platforms,32636,38570
Music Production,1539,1:31 AM,ETL,syndicate virtual supply-chains,83953,16291
Cisco Nexus,1746,4:51 AM,Customer Experience,utilize user-centric solutions,94373,73669
Customer Acquisition,1652,2:43 AM,Kompozer,exploit viral bandwidth,60834,6831
Microsoft SQL Server,1613,2:44 AM,Strategic Planning,whiteboard scalable deliverables,87224,77078
SDL,1671,2:25 AM,Adobe Creative Suite,streamline synergistic mindshare,1097,51718
Lotus Domino,1675,1:17 AM,Water Quality,extend back-end applications,138,68047
VBScript,1802,1:35 AM,IT Recruitment,transition transparent content,34558,56857
Tortoise SVN,1532,1:25 AM,Zumba,engage B2C users,90379,44913
PMIS,1943,1:41 AM,Watercolor Illustration,monetize cutting-edge web-readiness,99732,14378
FpML,1700,4:24 AM,IPO,incubate robust systems,2392,49429
NPI Management,1536,4:09 AM,BPL,envisioneer visionary convergence,84559,36251
