title,year,lenght,sinopsis,description,Country_Id,Director_Id
LCD TV,1963,2:18 AM,HR Management,drive back-end communities,85861,50033
OSPF,1827,3:04 AM,Ambulance,envisioneer back-end e-business,82012,48621
Program Evaluation,1850,2:15 AM,System Administration,visualize proactive web-readiness,37603,8422
VDI,2004,3:53 AM,Wildlife,grow interactive bandwidth,64977,55277
CCENT,1629,3:46 AM,RFI,recontextualize virtual solutions,18019,45606
Yarn,1826,3:41 AM,Home Health Agencies,iterate holistic action-items,1773,94037
Thermodynamics,1798,2:37 AM,ETFs,iterate magnetic e-business,32752,56465
DSI,1811,2:37 AM,BBQ,scale proactive relationships,58382,36601
Interactive Whiteboard,1616,3:54 AM,SGW,strategize value-added platforms,49197,63505
PFI,1509,1:01 AM,Photoshop,visualize out-of-the-box models,56074,2819
New Hire Orientations,1800,3:41 AM,PDL,maximize wireless content,76633,67791
uDig,1727,3:23 AM,Information Architecture,harness rich e-tailers,83919,58630
Applied Behavior Analysis,1751,3:29 AM,MDA,incentivize bricks-and-clicks vortals,9531,36330
OmniGraffle,1880,1:37 AM,DTT,visualize distributed deliverables,14151,74225
Youth Ministry,1511,4:53 AM,RTOS,extend distributed content,79778,66973
SAP PS,1734,1:20 AM,Offshore Drilling,harness sticky metrics,33802,90115
IIA Standards,1991,3:43 AM,Branch Banking,harness cutting-edge web services,71596,12532
MbUnit,1589,3:54 AM,MDF,monetize value-added technologies,2833,83499
Oxygen XML Editor,1670,1:18 AM,Market Planning,reinvent enterprise e-business,43086,54422
PJM,1714,4:31 AM,Alternative Energy,disintermediate enterprise web-readiness,71184,38045
Alcoholic Beverages,1957,3:50 AM,Object Oriented Software,envisioneer vertical portals,7717,47063
DNA ligation,1981,3:38 AM,Koine Greek,envisioneer collaborative architectures,76988,8957
Journalism,1947,3:19 AM,Employment Law,utilize real-time metrics,36909,51797
CNC Programing,1925,3:39 AM,University Teaching,incubate impactful web services,28999,24571
Amazon VPC,1529,4:26 AM,OJEU,synthesize world-class eyeballs,82362,85965
Embedded Linux,1559,3:41 AM,WGA,reintermediate front-end experiences,61660,12689
Typography,1645,3:44 AM,Acute Care,incubate granular interfaces,26208,77980
IAD,1856,3:18 AM,Youth Entrepreneurship,disintermediate bricks-and-clicks supply-chains,49343,55336
Kaizen Blitz,1840,4:53 AM,Unit Testing,evolve open-source markets,50936,89741
Blackberry OS,1964,2:23 AM,PC Anywhere,repurpose granular architectures,3978,23001
HP XP,1845,3:48 AM,Pharmaceutical Industry,architect dot-com users,49219,37515
CVaR,1690,4:17 AM,CSAT,deliver extensible relationships,24832,7883
IEC,1853,4:25 AM,Slackware,cultivate customized channels,32255,2828
PDF Creator,1921,1:49 AM,Fleet Management,orchestrate extensible synergies,17114,91462
Brokerage,1813,2:09 AM,NI Multisim,architect interactive interfaces,33364,53668
T-SQL Stored Procedures,1751,1:33 AM,Leadership Development,utilize efficient schemas,60138,57495
DUI Defense,1726,3:12 AM,Brokers,extend ubiquitous architectures,7122,81893
Process Efficiency,1773,3:52 AM,Oracle SQL Developer,extend revolutionary e-commerce,72411,25440
Dublin Core,1858,2:14 AM,FCAPS,cultivate visionary functionalities,96867,46512
Site Plans,1704,3:07 AM,Xerox Printers,iterate e-business markets,63029,92127
SDK,1582,3:07 AM,Personal Development,optimize front-end ROI,9895,92054
ICH Guidelines,1586,2:34 AM,VSE,deliver integrated relationships,56854,33866
HQL,1823,2:10 AM,NGP,empower robust systems,63996,96497
Urgent Care,1758,4:14 AM,Latin America,strategize e-business e-markets,4102,22345
Media Planning,1720,2:35 AM,HP EVA,reintermediate out-of-the-box metrics,9793,895
EBA,1895,4:36 AM,Import,utilize user-centric technologies,26383,67419
OKI,1920,3:12 AM,Global Business Development,streamline next-generation action-items,39921,97498
Military Experience,2000,4:18 AM,JBPM,aggregate proactive architectures,30878,39691
Small Business Marketing,1533,3:14 AM,Close Protection,optimize proactive e-services,52685,3668
XSLT,1663,4:21 AM,Sungard GMI,scale dot-com technologies,10691,4784
