title,year,lenght,sinopsis,description,Country_Id,Director_Id
DCF Valuation,1604,4:02 AM,PMB,innovate 24/365 platforms,76401,71387
NDDS,1858,3:52 AM,ISO 9000,strategize wireless models,58588,21708
jQTouch,1707,1:29 AM,DG Sets,redefine sticky applications,816,52390
At Multitasking,1570,3:39 AM,Student Affairs,grow best-of-breed users,87109,92115
FTL,1841,3:27 AM,JBuilder,grow web-enabled content,23177,66938
WLI,1529,1:03 AM,Active DoD Secret Clearance,exploit web-enabled systems,88513,52653
Process Simulation,1527,4:52 AM,BWA,drive bricks-and-clicks bandwidth,83500,6187
Ships,1970,3:00 AM,Sleepwear,generate back-end networks,34094,91554
TPR,1842,1:58 AM,Piano,synthesize scalable synergies,29053,13705
KWI,1876,1:59 AM,NIR Spectroscopy,recontextualize distributed e-services,5060,67934
Commercial Litigation,1545,2:58 AM,UDDI,productize rich channels,62469,82297
NCDA,1811,3:45 AM,Tissue Culture,incentivize bleeding-edge applications,65132,7105
KT,1655,2:17 AM,Music Education,synthesize vertical initiatives,49152,96157
Equity Capital Markets,1974,3:26 AM,NATO,incubate customized portals,69171,75476
Oscilloscope,1946,3:32 AM,Eyeon Fusion,strategize leading-edge ROI,1773,20952
Network Security,1820,1:39 AM,BPL,maximize innovative networks,36248,73228
TCAP,1693,2:39 AM,HR Solutions,incubate rich networks,45901,11389
XStream,1542,1:55 AM,Rollout,unleash front-end markets,11416,75903
TMAP,1508,2:28 AM,System Architecture,redefine best-of-breed paradigms,27832,30116
McKesson STAR,2012,3:18 AM,Class Actions,enhance sexy relationships,10169,79823
Young People,1508,3:25 AM,TKI,orchestrate extensible niches,33961,63739
Kayak,1778,1:40 AM,TLM,generate proactive eyeballs,47101,48191
VLC,1714,2:52 AM,Creativity Skills,disintermediate turn-key networks,52865,29170
Russian,1591,1:49 AM,ePolicy Orchestrator,matrix bricks-and-clicks systems,62984,41315
ICT Governance,1688,1:02 AM,Qmail,engineer value-added solutions,5569,12982
Telephone Skills,1731,2:49 AM,IGP,grow transparent solutions,972,64469
Flame AA,1626,2:03 AM,Purchase Management,monetize cross-media synergies,61468,85121
VB.NET,1944,2:23 AM,Threat &amp; Vulnerability Management,recontextualize end-to-end ROI,94500,90226
BBEdit,1991,3:58 AM,Water Features,incubate web-enabled partnerships,79159,55027
OLAP,1650,3:29 AM,Lumion,syndicate proactive ROI,84718,6514
Klocwork,1723,4:26 AM,TPC,e-enable B2C vortals,47187,88886
Xactimate,1731,4:40 AM,VLSI,extend front-end models,41865,14068
OCaml,1750,2:38 AM,Radar,whiteboard out-of-the-box metrics,13451,66247
MS Axapta,1526,4:00 AM,RLM,generate enterprise synergies,22941,88320
EPiServer,1810,2:07 AM,SnagIt,monetize proactive interfaces,17265,85972
VFX Supervision,1750,3:15 AM,cGMP practices,e-enable mission-critical networks,77653,25624
Foreign Affairs,1554,4:56 AM,Nintendo DS,reinvent enterprise eyeballs,73910,72578
Blood Typing,1570,1:49 AM,Navigation,facilitate granular networks,21521,21910
Rock Mechanics,1558,4:00 AM,BPF,reinvent innovative e-commerce,91614,60981
Lua,1763,1:17 AM,RVs,optimize enterprise ROI,88826,31987
UDP,1979,2:28 AM,FSL,reinvent bricks-and-clicks e-business,91602,20623
TQM,1670,1:02 AM,FTPS,recontextualize transparent relationships,49660,63834
Situational Awareness,1938,4:06 AM,Process Improvement,reintermediate dot-com web services,33320,85961
MyChart,1752,4:03 AM,Art Exhibitions,e-enable value-added communities,1083,2962
Rolling Stock,1933,3:48 AM,LLVM,engineer next-generation web-readiness,49071,85076
Carriage of Goods by Sea,1683,1:48 AM,EOD,streamline integrated infomediaries,55479,66275
NMLS Licensed,1769,1:35 AM,Value Engineering,iterate plug-and-play web services,85952,40700
Aspen HYSYS,1541,3:35 AM,Gardening,morph cross-media supply-chains,92841,46413
DVD Authoring,1586,2:49 AM,Aerial Cinematography,redefine integrated architectures,34562,94403
UK Tax,1862,4:34 AM,Flooring,recontextualize back-end e-commerce,19749,81800
IT Hardware Support,1855,2:23 AM,HP Data Protector,extend dot-com experiences,10451,61214
CPLD,1594,2:29 AM,Corporate Identity,exploit compelling functionalities,37980,40089
Class Actions,1538,4:26 AM,Jewish Studies,harness plug-and-play vortals,29938,89493
ZK,1880,4:32 AM,Canon DSLR,extend interactive methodologies,30125,68160
EEO Investigations,1867,3:40 AM,CSCS,revolutionize next-generation systems,19134,73775
VoIP,1952,2:53 AM,Pastoral Care,utilize innovative markets,91387,67080
Spot TV,1759,1:31 AM,WFS,architect next-generation partnerships,25138,12546
BMX,1509,1:59 AM,SOA,synergize interactive communities,95863,32395
OTV,1961,1:04 AM,Logic Pro,incubate open-source eyeballs,88350,94524
Amazon Web Services (AWS),1804,2:08 AM,Wheat,strategize clicks-and-mortar e-business,45312,28632
Electrical Design,1837,3:56 AM,Wellbeing,leverage 24/365 mindshare,36253,4464
CMTS,1852,3:14 AM,CFII,leverage impactful content,41395,97691
Objective-C,1695,4:14 AM,XMLHTTP,mesh synergistic mindshare,94063,94986
Criminal Law,1687,4:43 AM,EPCM,iterate innovative channels,71724,89779
EOU,1601,4:05 AM,ILS,streamline compelling technologies,2621,90475
TMA,1891,4:22 AM,IASO,orchestrate turn-key e-services,100430,19945
PMO Design,1821,1:00 AM,Warranty,revolutionize rich systems,78503,58290
Wine Tasting,1923,2:16 AM,MS Axapta,evolve cross-platform architectures,63130,17209
AOD,1886,1:56 AM,CBM,drive sticky markets,13170,92683
Vray,1677,2:54 AM,Marketing Strategy,incentivize 24/7 metrics,72012,39734
Newsletters,1531,2:15 AM,Knee,unleash interactive web-readiness,51393,72121
RTL Design,1900,2:14 AM,SWIFT Messaging,transition transparent eyeballs,21817,18078
GWAPT,1651,4:47 AM,LTE,innovate mission-critical interfaces,59610,95103
OxMetrics,1531,1:08 AM,ABAP Web Dynpro,e-enable plug-and-play communities,42177,67770
FSP,1948,2:00 AM,QS1,extend impactful web-readiness,78413,53488
Employment Law,1953,2:50 AM,Editing,recontextualize one-to-one bandwidth,19119,39515
NGL,1575,4:50 AM,Database Design,leverage dynamic architectures,88618,42405
Private Banking,1588,3:31 AM,MCH,brand dot-com content,96252,15965
Investments,1618,3:18 AM,OAuth,monetize value-added e-tailers,94283,87937
TFF,1855,4:54 AM,Canon XH-A1,harness synergistic systems,71652,93631
Cleaning Validation,1822,3:48 AM,Yardi,facilitate web-enabled communities,7909,67484
CNN Pathfire,1778,3:13 AM,Aircraft Systems,benchmark viral networks,87718,25599
Patents,1641,2:12 AM,Custom Furniture,transition holistic functionalities,15370,50127
ArcGIS,1861,4:47 AM,Medical Ultrasound,disintermediate enterprise portals,93466,98589
Psychodynamic Psychotherapy,1994,3:28 AM,Member of IEEE,unleash interactive systems,5005,59814
OSPF,1956,3:57 AM,Nanotechnology,strategize clicks-and-mortar ROI,22530,25403
KRAs,1880,1:26 AM,GTM,syndicate B2B e-services,56036,63100
Entrepreneurship,1588,2:45 AM,Music,unleash compelling e-services,91087,75824
Aerobics,1642,3:27 AM,OGC Gateway Reviews,enhance back-end partnerships,51372,92668
NDDS,1830,2:15 AM,Zoom,deliver viral interfaces,13519,42027
Omniture,1833,2:34 AM,Black Box Testing,whiteboard global ROI,25785,90714
ITIL v3 Foundations Certified,1749,3:22 AM,Keratin Treatment,recontextualize interactive initiatives,79041,23004
Property Management Systems,2014,2:04 AM,Sony HDV,reintermediate next-generation metrics,88197,57993
SQL Server Management Studio,1873,2:01 AM,HRIS,empower sexy functionalities,79845,46129
iVantage,1510,3:15 AM,DBT,synthesize out-of-the-box mindshare,59602,54744
Hotel Booking,1885,3:16 AM,WFA,leverage extensible e-commerce,47617,45981
MDSD,1845,3:40 AM,Patient Advocacy,recontextualize robust systems,31279,27162
ZigBee,1919,4:07 AM,TCPA,whiteboard bricks-and-clicks web-readiness,68071,57648
Furnishings,1967,2:14 AM,LVDS,synthesize synergistic portals,8396,96319
Dyeing,1947,4:58 AM,OSHA 30-Hour,reintermediate enterprise infomediaries,20395,33342
LLBLGen,1730,3:13 AM,Wellness Coaching,embrace impactful infomediaries,52713,84081
Aluminum,1917,3:08 AM,KOL Identification,engineer innovative metrics,8724,28742
Process Scheduler,1899,2:20 AM,Junior Golf,reintermediate ubiquitous architectures,70566,3361
Broadcast Journalism,1903,4:57 AM,Waterfall,e-enable virtual deliverables,35612,35937
Variable Frequency Drives,1584,4:37 AM,IP Networking,leverage leading-edge niches,48569,98486
Ethernet over Copper,1958,1:33 AM,DSLAM,harness granular web services,21726,23464
MICROS,1520,3:56 AM,Recruiting,incubate granular web-readiness,95935,49627
Global Marketing,1932,1:52 AM,LPI,benchmark extensible communities,84480,21308
Flooring,1974,2:01 AM,GPU,reintermediate real-time interfaces,2923,88257
Epoxy,1819,1:07 AM,WAN,innovate rich users,26895,41810
New Homes,1916,2:22 AM,IICRC Certified,engineer rich web-readiness,26662,5890
Frame Relay,1943,4:17 AM,EPiServer,benchmark world-class synergies,70124,22650
Ocean,1524,3:00 AM,SDH,engineer granular infrastructures,80617,55517
Ecology,1858,2:01 AM,DTI,scale compelling experiences,73514,31480
Wildlife,1997,4:43 AM,JCAHO,deliver sexy vortals,30469,87885
RCFA,2001,3:43 AM,Employee Management,morph transparent ROI,67021,16285
VDSL,1984,4:53 AM,Flex,engage viral platforms,79984,10123
PML,2001,1:42 AM,XMLHTTP,aggregate efficient platforms,49259,38327
Cyber-security,1899,1:38 AM,DFSS,incentivize plug-and-play ROI,15314,48841
EOC,1803,1:18 AM,Online Advertising,architect open-source technologies,59721,63421
Accounting,1687,4:22 AM,SFIA,empower revolutionary initiatives,67574,76933
Niche Marketing,1552,3:42 AM,Animation,matrix wireless bandwidth,75302,55579
CMMS,1576,1:33 AM,VCO,recontextualize plug-and-play applications,62796,40925
RSL,1662,3:10 AM,MyChart,mesh vertical partnerships,14858,96206
CNOR,1597,4:32 AM,Yellow Belt,innovate interactive portals,36181,82917
Rheumatology,1916,4:50 AM,Oracle SQL Developer,exploit proactive communities,82549,66276
ZoomInfo,1760,1:37 AM,VSOE,aggregate dot-com portals,32339,35018
NBS Specification,1657,2:54 AM,DFSS Green Belt,drive frictionless e-business,75594,16263
PMO Design,1667,3:35 AM,TSP,morph visionary content,17506,4441
AHLTA,1996,2:41 AM,FMCG,iterate wireless content,59743,69142
ISO 9001,1518,4:35 AM,Object Oriented Software,enhance intuitive deliverables,95256,30204
Career Counseling,1781,3:33 AM,Earthquake Engineering,target customized e-tailers,19456,25727
Nanoparticles,1584,3:21 AM,Wireless,syndicate B2B infrastructures,50132,25365
Oracle XE,1880,2:44 AM,Thin Films,enable open-source networks,96050,11205
Ocean Transportation,1662,2:44 AM,nDo,architect best-of-breed relationships,16646,12216
Quality Auditing,1552,2:52 AM,CNS disorders,transform granular paradigms,71635,90031
Hydraulic Systems,1501,4:21 AM,Process Automation,grow cross-platform supply-chains,8103,91815
Pro-IV,1759,2:34 AM,Financial Mgmt,embrace compelling paradigms,95756,5417
EGPRS,1699,2:54 AM,DDoS Mitigation,syndicate front-end relationships,2904,39880
Organic Chemistry,1729,3:15 AM,PKCS#11,facilitate dot-com solutions,27452,72153
RHCE,1798,3:18 AM,Apache Ivy,target vertical action-items,92667,50932
Transitional Justice,1704,4:36 AM,Db4o,exploit mission-critical eyeballs,87750,21563
Foreclosures,1862,2:39 AM,Passionate about work,engineer out-of-the-box metrics,34603,8409
Cisco VoIP,1791,3:35 AM,VTS,harness killer technologies,7157,28268
NCDA,1781,1:38 AM,GIS Modeling,benchmark killer e-business,12342,10288
Fraud,1822,3:20 AM,WSRR,extend proactive communities,56129,22706
HMC,1519,2:37 AM,Public Sector,embrace one-to-one deliverables,68206,53905
PVElite,1619,2:40 AM,Sports Medicine,seize best-of-breed relationships,70078,91969
Process Scheduler,1680,1:52 AM,LLU,visualize innovative networks,51570,20280
Euthanasia,1589,3:30 AM,Node.js,generate value-added technologies,53390,70567
Xcode,1734,2:16 AM,UCP,productize magnetic bandwidth,11034,5232
QSA,1751,1:30 AM,LDO,incentivize mission-critical experiences,45776,39910
Supply Management,1578,2:00 AM,Dynamic Speaker,reintermediate scalable infomediaries,89468,20292
RF Scanners,1607,3:19 AM,HCV,integrate dynamic convergence,42749,87961
UNIX Utilities,1906,2:42 AM,EGL,visualize global e-business,26652,15760
RLM,1691,4:33 AM,Army,streamline back-end relationships,97531,48235
Yachting,1909,2:05 AM,CDPE,cultivate integrated metrics,76992,46392
CFI,1612,4:19 AM,NUnit,facilitate world-class functionalities,86184,52480
Alcohol Awareness,2009,1:39 AM,Passionate about work,syndicate customized metrics,45192,47458
TV series,1714,4:39 AM,Eyelid Surgery,expedite next-generation e-markets,71532,8303
Canon XL2,1944,1:39 AM,Western Europe,whiteboard efficient e-tailers,26580,13836
Umbilicals,1684,1:19 AM,Flight Test,e-enable B2B functionalities,85080,48152
Tissue Culture,1641,3:49 AM,PPBES,utilize ubiquitous e-services,89087,1143
