Movie_Id,Genre_Id
3883,96
31260,81
69667,175
92157,140
6706,240
2684,204
18735,141
11082,70
4660,200
68250,150
31820,243
48737,23
36039,60
77173,141
15725,100
9714,138
35948,47
62925,199
93318,11
93505,93
12679,114
29363,235
27808,213
68134,163
23148,145
74332,67
51653,28
35206,120
83702,144
31979,173
24813,162
53145,65
40396,153
41944,36
22643,63
44544,89
52040,144
70528,31
8396,110
5491,197
90724,221
46090,205
22950,213
44803,179
23142,87
68227,195
34246,118
11072,86
68964,241
66174,122
59067,2
40042,235
83311,189
32237,34
64852,240
27113,121
35169,136
80702,126
66565,166
46195,138
53246,161
25904,230
28746,127
41539,64
82418,145
22662,65
56605,193
86414,236
13833,75
3463,197
60106,81
78187,221
77058,164
26540,176
84547,63
24656,83
79183,74
88858,200
468,234
88199,119
46258,213
69640,184
56491,71
22510,187
24806,180
13363,146
46369,110
56826,211
44866,239
19259,27
44681,99
48013,241
25412,244
67225,130
43218,166
53375,138
34916,211
13105,53
86781,77
65700,40
41072,171
47463,111
26048,189
45986,93
14438,156
53907,214
81859,180
79561,20
37798,171
82467,199
32678,230
34604,83
11907,159
58603,207
17211,44
31016,114
4912,89
35136,192
14329,2
34521,8
75006,159
93454,37
59938,190
50145,146
7967,72
1490,108
5635,187
14976,158
4324,150
31235,241
72226,181
89308,46
93821,172
71723,90
1349,212
91166,92
36242,10
5876,228
4629,95
54372,114
87404,134
17707,158
79422,41
3458,172
2324,14
60146,215
16443,113
7653,71
36352,221
87781,85
32135,63
90788,144
67314,34
77083,128
10857,31
19542,101
2285,61
95002,58
66031,93
6357,225
16852,175
95712,36
90998,105
85105,42
58221,49
93994,65
47962,176
90250,240
35694,11
19608,7
19299,233
24613,206
19697,225
33842,236
8469,77
84766,53
39342,198
22014,151
60950,158
8339,48
71282,205
27222,119
26536,127
36507,238
48188,221
93307,146
68831,206
32740,9
82320,132
77313,89
56658,5
89415,83
90520,141
46953,56
81004,178
19136,243
81148,238
57276,161
46842,158
77605,60
12420,107
57784,128
44430,124
59681,11
88334,152
70239,5
50476,21
8847,103
57091,136
17843,139
80274,27
14445,170
45013,158
42301,30
8328,240
58762,105
24261,176
75941,224
45819,122
27311,20
31107,212
14306,44
87986,110
13200,44
32215,151
60461,39
15461,157
56310,43
28796,51
34701,122
80802,65
26915,217
57108,94
86154,234
51852,195
19773,25
50395,178
29744,216
68742,197
65597,138
52022,182
4640,176
47441,133
3383,207
7456,15
39027,77
58918,244
64294,145
96994,85
63482,243
44617,37
21422,186
53010,67
32577,23
92870,22
90675,170
17266,100
34361,13
26599,31
93968,229
63277,12
1010,78
44607,164
41365,120
26198,80
50398,108
82736,85
61362,3
46895,146
31546,124
72548,201
39621,62
84875,230
89873,93
25843,59
50882,35
87344,190
45523,91
63067,166
18,63
34839,51
64803,224
39483,67
20700,50
41245,15
53298,206
67267,238
89246,229
38340,131
44313,40
42934,156
44812,64
78136,207
58959,204
78706,185
34895,116
84304,205
79739,160
18421,236
81690,61
63630,157
27487,204
70600,147
21912,18
62268,10
83542,34
51168,111
55551,49
60241,150
11775,156
93774,104
25303,223
74342,219
43972,80
23168,77
75411,196
22498,180
38288,4
33777,34
48521,82
60671,55
58356,212
72152,215
13813,14
82839,8
11890,233
61507,44
31968,110
69340,75
60197,90
65783,59
24676,122
4307,117
90885,238
89659,220
61005,116
4800,32
58798,80
36828,240
91879,207
15633,89
31991,178
3323,118
50527,242
38885,239
18504,87
79987,11
22903,133
17966,149
21079,225
10069,227
22569,229
55018,115
93341,35
8125,148
