title,year,lenght,sinopsis,description,Country_Id,Director_Id
ECDL Certification,2014,1:44 AM,GNU Octave,drive real-time web-readiness,8684,93708
Custom Furniture,1845,3:50 AM,MPEG,empower customized users,40229,23346
LLDP,1827,3:19 AM,BFSI,leverage best-of-breed channels,36971,18228
Windows 7,1687,4:33 AM,Smart GWT,unleash innovative vortals,8016,24962
Outlook Express,1547,2:41 AM,PMBOK,synthesize collaborative e-tailers,580,38864
Social Media Outreach,1631,3:30 AM,DBC,enhance robust mindshare,44437,66042
Software Development,1520,3:48 AM,ICP-OES,optimize virtual convergence,2453,29465
Outdoor Education,1905,1:02 AM,Summation iBlaze,deliver magnetic e-markets,23866,19799
DFX,1919,3:34 AM,Usability Engineering,innovate robust ROI,51325,26958
Canon XH-A1,1960,1:54 AM,KVM,empower strategic technologies,90146,58266
Sustainable Design,1883,3:44 AM,CFX,syndicate synergistic web-readiness,22900,77391
ODC,1899,3:12 AM,UED,facilitate plug-and-play schemas,27750,20311
User Experience,1506,4:42 AM,Gyrotonic,transform clicks-and-mortar bandwidth,32702,88429
Keyboards,1594,3:21 AM,Switchgear,repurpose strategic networks,65215,1120
DFU,1689,4:27 AM,CEO/CFO Certification,expedite revolutionary content,19922,23202
Oversight,1714,3:20 AM,HUD,disintermediate interactive solutions,84346,26789
FCC License,1666,3:58 AM,Listings,mesh scalable web-readiness,48370,3008
SMO,1630,1:17 AM,MDL,incubate enterprise e-markets,48121,88894
EES,1713,4:11 AM,AXI,evolve user-centric e-business,81768,44252
Jive,1831,2:44 AM,SRTP,extend strategic partnerships,85460,57022
TCP/IP,1773,2:38 AM,LSAMS,innovate clicks-and-mortar technologies,17620,31297
PKI,1779,2:32 AM,Microsoft Office,implement user-centric technologies,60860,5585
IIS,1960,4:55 AM,Vlookup,mesh ubiquitous systems,31599,70509
Part-Time CFO Services,1631,3:09 AM,Norwegian,expedite enterprise e-commerce,23520,58751
European Politics,1560,4:06 AM,ODD,synergize sticky methodologies,11772,92905
RSVP-TE,1859,4:57 AM,Generators,target end-to-end infrastructures,93395,94156
Unified Communications,1850,3:05 AM,Grants,productize web-enabled supply-chains,55415,49656
Rural Community Development,1615,3:48 AM,Olefins,reinvent revolutionary synergies,98927,60663
Ironport,1972,3:03 AM,QKA,harness leading-edge infrastructures,9239,11324
TPD,1828,2:58 AM,Oil &amp; Gas Industry,evolve bricks-and-clicks functionalities,15154,52624
Citrix XenApp,1860,1:15 AM,HDL Designer,benchmark sexy relationships,84109,95228
VLAN,1767,1:03 AM,IBM Rational Rhapsody,scale virtual web services,56717,91973
Multi-color Flow Cytometry,1950,3:13 AM,RDFS,incentivize strategic functionalities,36979,33946
QFD,1731,3:22 AM,Health Promotion,incubate e-business channels,95393,36855
Economic Development,1843,3:18 AM,Food Preparation,deliver ubiquitous interfaces,75305,9333
PC building,1631,4:00 AM,FCNSA,deliver sexy paradigms,57341,42919
Snooker,1568,3:02 AM,iSCSI,productize out-of-the-box methodologies,34651,1098
Theology,1700,1:13 AM,PDO,cultivate bricks-and-clicks infrastructures,32147,5831
Utility Mapping,1748,2:01 AM,Ducting,synergize mission-critical portals,17158,29632
FM/2,1512,1:58 AM,Geometric Dimensioning &amp; Tolerancing,seize robust markets,24010,7555
Oozie,1737,1:19 AM,Kaizen Leadership,integrate plug-and-play infrastructures,35704,91602
Ubiquitous Computing,1697,3:47 AM,Oxidative Stress,expedite seamless niches,4795,62958
Client Aquisition,1657,1:34 AM,Myofascial Release Therapy,aggregate customized infomediaries,18057,34309
Investment Banking,1930,3:31 AM,Oil Changes,target frictionless bandwidth,7244,18493
PnL Management,1500,4:50 AM,SV,integrate e-business experiences,32233,5823
Abaqus,1500,1:06 AM,Gigabit Ethernet,scale wireless eyeballs,52742,10435
Award Submissions,1713,1:22 AM,Substance Use Disorders,optimize sticky synergies,98315,55888
RMDS,1975,2:40 AM,Partnership Taxation,utilize integrated e-markets,10894,46817
DDoS,1556,3:15 AM,Tactics,incubate magnetic e-business,6563,96245
Equity Derivatives,1725,1:33 AM,CDISC,incentivize efficient relationships,51405,18716
JPA,1762,4:58 AM,Osteoporosis,monetize strategic supply-chains,75432,39017
Young People,1984,1:38 AM,SDLX,repurpose wireless vortals,78211,74864
Classroom Management,1523,2:38 AM,Motivational Speaking,envisioneer mission-critical e-services,38523,74944
Erwin,1694,4:45 AM,Database Marketing,architect visionary metrics,59196,14777
FMLA,1924,3:20 AM,Seismic Attributes,whiteboard one-to-one e-tailers,19946,26420
C-TPAT,1938,1:46 AM,BBQ,streamline end-to-end content,100106,27795
MyBatis,1555,4:29 AM,FCNSA,synergize e-business users,73252,20091
Sony Vegas,1612,3:33 AM,KT,deliver robust networks,12366,78438
