title,year,lenght,sinopsis,description,Country_Id,Director_Id
TDM,1812,2:24 AM,Oracle HR,exploit sexy deliverables,53411,78950
Wireless,1526,4:29 AM,Rhinoplasty,integrate synergistic niches,78694,20185
Fax,1894,1:31 AM,Creative Direction,mesh holistic models,100103,74457
Manufacturing,1914,2:35 AM,PostgreSQL,synthesize leading-edge infomediaries,38642,86664
Omnibus,1778,3:18 AM,PFS,generate wireless architectures,46756,96373
Adolescents,1886,4:05 AM,Biodiversity,reintermediate visionary functionalities,76681,96663
Home Owners,1728,3:11 AM,Tcsh,optimize sexy mindshare,73847,7207
Nintex,1691,2:59 AM,FDA GMP,engage magnetic paradigms,5696,23652
Management Consulting,1765,2:07 AM,Core Java,grow granular methodologies,35803,89677
AQTESOLV,2015,4:13 AM,Ukulele,orchestrate efficient partnerships,58494,599
Hibernate,1626,3:48 AM,Weapons of Mass Destruction,extend granular applications,24372,18726
Flight Safety,1890,4:56 AM,QALoad,benchmark B2B relationships,64438,62696
Agile Project Management,1542,2:01 AM,NLB,revolutionize 24/7 niches,42762,7446
VSX,1683,1:04 AM,NSLDS,visualize global architectures,25387,80712
Xing,1813,1:11 AM,IOT,reinvent extensible functionalities,47426,10964
GPS Navigation,1682,1:04 AM,Electricians,redefine B2B ROI,65043,8698
Tourism,1628,2:08 AM,VSE,reintermediate 24/7 experiences,55600,42409
GTS,1615,1:50 AM,RPOs,morph strategic action-items,15563,25007
Pharmaceutical Industry,1727,1:34 AM,Grants,iterate front-end experiences,80504,37447
Ozone Therapy,1569,3:07 AM,Java RMI,disintermediate compelling initiatives,55861,37890
NGOSS,1640,3:59 AM,MSI,envisioneer cross-media content,46232,44974
Photo Shoots,1723,2:59 AM,JSON-RPC,harness mission-critical technologies,37350,88122
UltraTax,1759,3:25 AM,EPiServer,target B2C infrastructures,95548,11610
NTFS,1782,4:46 AM,Oncology,transition viral portals,72279,20338
ADP Payroll,1930,3:34 AM,SNA,revolutionize B2B initiatives,22758,29968
IKEv2,1767,3:08 AM,TPNS,productize value-added infrastructures,39441,5016
Offshore Outsourcing,1803,3:00 AM,Video Production,target B2B e-commerce,95952,31090
TPNS,2004,1:26 AM,SWOT analysis,orchestrate open-source schemas,83301,33724
Project Portfolio Management,1527,1:39 AM,DMT,brand customized communities,47390,95587
FSCM,1803,2:18 AM,Koine Greek,visualize end-to-end web-readiness,15259,84570
dtSearch,1523,1:15 AM,Electricity,reinvent collaborative action-items,16576,96351
RELAX NG,1815,4:15 AM,Licensing,productize extensible niches,92072,23181
People Management,1535,4:32 AM,Career Counseling,orchestrate dot-com e-business,32236,94510
Deep Tissue Massage,1957,2:24 AM,Aerodynamics,incubate scalable action-items,21319,12903
Flash,1733,4:21 AM,Smartboard,transform best-of-breed solutions,71739,22708
TCR,1815,4:18 AM,System Administration,incubate compelling e-tailers,84689,87351
Software Implementation,1831,4:17 AM,NYISO,grow wireless relationships,25693,49776
NBAR,1674,3:31 AM,FPA,mesh real-time convergence,30098,74294
French,1784,3:16 AM,iVantage,architect clicks-and-mortar users,88051,80296
CQA,1828,3:33 AM,IPO,brand customized partnerships,69737,1242
Amazon VPC,1758,2:19 AM,Piloting,strategize enterprise platforms,15873,81739
MBCS,1735,1:18 AM,Private Events,transition global models,8388,39033
MPBGP,1776,4:24 AM,HDF5,visualize wireless infrastructures,21249,31212
End User Training,1932,4:17 AM,User Experience,deploy out-of-the-box web services,12646,27622
Copy Editing,1806,3:44 AM,Solution Selling,transform vertical applications,40071,83832
Fixed Income,1670,1:17 AM,XML Programming,incubate integrated niches,86460,81118
Tally ERP,1742,4:50 AM,Corporate Tax,innovate back-end eyeballs,77715,87398
International Political Economy,1758,2:47 AM,QML,innovate distributed networks,14381,72566
Rhythm Guitar,1858,4:50 AM,GCS,embrace mission-critical functionalities,57152,18130
Economic Research,1836,3:48 AM,Classroom,envisioneer customized markets,49297,69367
Fluorescence Microscopy,1515,2:01 AM,Kaspersky,scale holistic platforms,24570,29483
TVCs,1991,1:10 AM,Kontakt,leverage cross-media applications,74444,82957
Social Media Outreach,1853,2:30 AM,JTest,orchestrate global initiatives,66916,45469
UCaaS,1601,2:27 AM,IP Cameras,disintermediate turn-key action-items,43750,61451
ICP,1585,4:55 AM,SLES,optimize distributed architectures,66248,48252
Corporate Events,1521,4:19 AM,NRF,syndicate synergistic interfaces,18757,57726
NT Backup,1927,3:39 AM,Omniture,incentivize magnetic channels,61646,64277
Khalix,1931,2:54 AM,TPNS,mesh virtual partnerships,84914,35398
Real Estate License,1801,2:32 AM,BBEdit,leverage visionary bandwidth,96270,52711
Electronic Trading,1568,3:05 AM,Forecasting,transform vertical solutions,3849,32177
Ejabberd,1827,1:28 AM,WCAG,cultivate compelling applications,29107,45456
RS/6000,1937,1:48 AM,MRAM,matrix innovative markets,92502,98013
SV,1999,4:10 AM,Payment by Results,brand out-of-the-box infrastructures,8978,38482
ATLS,1821,3:14 AM,XRR,leverage revolutionary initiatives,64760,44578
OECD,1838,1:07 AM,CQ,iterate value-added action-items,99133,98430
VCAT,1643,4:11 AM,Underscore.js,revolutionize compelling relationships,42657,91857
xPression,1823,4:32 AM,FBA,unleash customized eyeballs,28732,73353
VLAN,1530,2:04 AM,Lawson HRIS,engage proactive systems,19872,27383
BTE,1878,4:02 AM,PCM,cultivate visionary technologies,36338,11456
Back Office,1975,4:32 AM,MW,disintermediate world-class relationships,14247,85999
Yammer,1907,4:56 AM,Allen-Bradley,redefine compelling channels,85296,75663
Easily Adaptable,1743,3:11 AM,Numerical Analysis,expedite leading-edge eyeballs,16556,94176
RCFA,1953,1:40 AM,FEED,unleash collaborative web services,2994,93213
Finance,1695,4:30 AM,Child Development,cultivate global interfaces,28398,28228
MVT,1505,3:13 AM,Omnet++,syndicate 24/365 solutions,59816,77207
Planned Giving,1637,1:36 AM,XUL,leverage ubiquitous solutions,19218,73794
FM/2,1610,2:42 AM,NAS,exploit 24/365 applications,36905,56953
ILS,1950,1:28 AM,Business Efficiency,streamline rich partnerships,99321,40461
IxLoad,1575,2:14 AM,Eplan,strategize rich niches,57193,25002
OO Software Development,1813,1:36 AM,Job Descriptions,target user-centric supply-chains,25843,82194
GSD,1978,3:35 AM,DSLAM,exploit out-of-the-box markets,46876,96012
Crisis Intervention,1590,4:53 AM,Whisky,synergize dynamic synergies,8222,23197
Tumblr,1834,4:25 AM,DMS-100,redefine dynamic content,929,30036
JNI,1531,1:01 AM,LDD,target rich solutions,28457,7175
Kondor+,1535,3:22 AM,Cost Benefit,revolutionize intuitive supply-chains,16208,16685
KVM,1975,2:40 AM,BPCS,monetize global partnerships,58146,50557
Wholesale Operations,1966,1:33 AM,IXIA,orchestrate web-enabled schemas,47332,52011
WDK,1915,2:01 AM,FX Swaps,redefine turn-key e-services,94888,73024
