title,year,lenght,sinopsis,description,Country_Id,Director_Id
LPR,1768,1:19 AM,Ableton Live,facilitate cross-media systems,57429,92462
Dynamic Positioning,1682,2:01 AM,VCT,deliver B2C infrastructures,90099,15765
Hardware Diagnostics,1820,1:58 AM,Process Simulation,scale world-class e-tailers,2749,69162
Medicare,1647,4:15 AM,PKCS#11,embrace web-enabled models,91685,34575
Academic Writing,1789,2:36 AM,z/VM,evolve efficient convergence,47672,58767
Grocery,1528,1:04 AM,International Sales,harness revolutionary vortals,27508,88207
OLEDB,1551,4:52 AM,CPM Scheduling,integrate mission-critical action-items,85787,6774
Web Design,1767,1:03 AM,Lyris,aggregate efficient channels,91528,43550
NMR Spectroscopy,1835,4:50 AM,Appeals,enhance seamless ROI,1430,82219
3Com NBX,1914,2:06 AM,KVM,engage open-source e-services,78484,87456
Ozone,1955,4:49 AM,Piping,brand web-enabled web-readiness,87376,61164
OID,1941,2:12 AM,VC#,generate intuitive metrics,45022,66201
Medical Devices,1650,2:30 AM,Occupational Therapy,drive innovative action-items,73392,7064
PGP,1913,2:37 AM,SAP EWM,expedite plug-and-play technologies,60027,84978
Planned Giving,1978,3:25 AM,.htaccess,revolutionize cutting-edge functionalities,41595,23606
UEFI,1584,3:05 AM,Patient Advocacy,iterate interactive relationships,33405,86535
Sun Certified Java Programmer,1947,2:00 AM,JCreator,enhance cross-media channels,76757,51545
ISO 27001,1647,1:49 AM,IRB,architect mission-critical infrastructures,72712,90888
Aerospace Medicine,1526,2:54 AM,HTML Emails,facilitate customized mindshare,56988,57128
solid-state NMR,1704,2:38 AM,Xsigo,streamline one-to-one eyeballs,9799,26003
Gifted Education,1920,2:09 AM,Wholesale Banking,morph synergistic ROI,65379,88317
Employee Benefits,1692,4:53 AM,Hyperion Planning,generate revolutionary eyeballs,33021,65417
Planned Giving,1839,3:36 AM,Myofascial Release,envisioneer customized supply-chains,77005,20319
Organizational Leadership,1640,1:54 AM,cGMP manufacturing,evolve bricks-and-clicks e-markets,63388,41908
SAP BPC,1987,4:42 AM,Storage,redefine 24/7 functionalities,68184,51717
XSI,1542,3:02 AM,Furnishings,utilize compelling convergence,62687,23535
IDoc,1528,4:15 AM,General Surgery,transition real-time solutions,58321,39522
FX Swaps,1812,2:15 AM,Electrical Controls,target viral supply-chains,61194,11038
Utility Systems,1813,3:35 AM,Mobile Communications,seize sexy portals,44383,82764
Cement,1927,3:18 AM,Mortgage Banking,drive impactful metrics,5776,8675
IT Operations,1818,3:41 AM,Duty Drawback,implement bricks-and-clicks interfaces,88720,12228
Music Theory,1859,4:13 AM,CDL Class B,morph granular e-markets,10383,3596
Shopping Centers,1566,1:27 AM,Avid Xpress,generate leading-edge models,47626,69072
Interactive TV,1732,1:42 AM,ProSystem fx Tax,utilize robust e-commerce,47579,65445
Customer Service,1723,4:47 AM,MSS,transition mission-critical functionalities,93861,2552
MS Excel Pivot Tables,1670,3:37 AM,TSM,unleash wireless paradigms,47750,19844
First Year Experience,1703,1:50 AM,Yields,empower out-of-the-box eyeballs,21720,44415
CTFL,1683,3:58 AM,EOB,streamline collaborative convergence,44880,50330
DVR,1996,1:25 AM,HW/SW integration,morph intuitive infomediaries,77551,95304
Sculpture,1645,4:52 AM,nCloth,visualize efficient systems,66065,59563
FM/2,1872,2:53 AM,Fine Art Photography,facilitate user-centric e-commerce,30076,30405
PV Design,1768,3:26 AM,RSLinx,cultivate turn-key applications,85337,7225
xPression,1889,3:22 AM,Embedded Software,architect customized niches,59149,83640
GPP,1827,3:34 AM,Animal Nutrition,innovate transparent mindshare,65848,83738
Norton Ghost,1551,4:27 AM,Hazard Recognition,streamline 24/7 content,50042,61274
XPDL,1585,4:46 AM,DDoS,recontextualize sticky portals,79628,62353
Scheduling,1657,1:47 AM,CCIE,aggregate leading-edge e-services,59031,77872
System Deployment,1665,1:19 AM,SMED,productize visionary niches,39739,55247
DNV,1518,2:53 AM,Experion PKS,engineer rich synergies,6447,61403
MTTR,1791,1:16 AM,iWay,extend B2B models,82958,5772
Market Research,1773,3:14 AM,Music Videos,matrix killer e-markets,51992,52684
Real Estate Development,1566,1:51 AM,Financial Services,productize proactive solutions,11738,47776
LEED AP,1679,2:22 AM,Two-phase Flow,matrix bricks-and-clicks e-tailers,36225,70189
Health Insurance,1589,4:25 AM,SAP OM,seize virtual channels,83390,55683
Phase II Environmental Site Assessments,1894,3:33 AM,Business Intelligence Tools,iterate revolutionary systems,1971,26443
Agile Methodologies,1925,4:34 AM,Apache ZooKeeper,generate innovative web-readiness,87896,58799
Keyword Research,1941,2:53 AM,DHCP,evolve B2B supply-chains,95221,531
WCSF,1688,3:46 AM,Freight Forwarding,enable dot-com paradigms,58952,13397
Early Childhood Development,1771,4:17 AM,Bank-owned Properties,evolve visionary communities,56651,77213
Factory,1908,1:52 AM,VTS,evolve B2C channels,50348,23033
PPMS,1527,1:10 AM,Workforce Management,exploit viral experiences,36470,37504
Lutron,1641,3:31 AM,Core Java,orchestrate synergistic infrastructures,96102,25803
TMX,1667,1:49 AM,LSF,recontextualize granular infomediaries,63573,21535
Global Business Development,1565,1:46 AM,Klocwork,productize extensible partnerships,4523,36703
Electrical Troubleshooting,1871,1:25 AM,CSM,expedite 24/365 infomediaries,19434,24048
Employer Branding,1604,1:34 AM,IR Spectroscopy,syndicate world-class paradigms,78605,40353
BMC Remedy Administration,1891,4:56 AM,Utility Locating,scale leading-edge e-markets,11357,37569
RRP,1861,4:31 AM,Atomic Absorption,deploy scalable solutions,91941,28748
FrameMaker,1947,2:28 AM,Fashion GPS,cultivate cross-media infrastructures,56162,14707
SRDS,1939,4:24 AM,LS-DYNA,unleash cross-platform mindshare,43862,9904
Ethernet over Copper,1724,1:06 AM,Sleep Disorders,implement holistic content,62795,654
XMLHTTP,1646,1:35 AM,Career Counseling,engineer real-time bandwidth,45864,1526
Cisco IOS,1592,2:22 AM,KNX,productize strategic deliverables,70898,83338
LRO,1815,3:06 AM,DDI,innovate ubiquitous metrics,13037,71808
Ultimate Frisbee,1649,4:36 AM,LTSP,reinvent impactful schemas,81813,69400
RPM,1822,1:24 AM,DGGE,brand plug-and-play systems,100856,90397
Type Approval,1835,2:37 AM,Ambulance,facilitate 24/7 partnerships,99042,77039
Graduate Recruitment,1930,4:01 AM,Digital TV,repurpose sexy users,34907,25000
European Affairs,1892,3:13 AM,Buyer&#39;s Agent,drive B2C content,28541,55328
Pigments,1962,1:42 AM,Aviation,orchestrate killer solutions,63368,9484
Axis2,1903,4:54 AM,OEM Management,scale open-source e-tailers,50441,81699
ATM Networks,1804,3:27 AM,BMD,recontextualize distributed platforms,43298,82237
Metro Ethernet,1789,3:23 AM,ISO 27001,enhance B2B metrics,19818,26428
IFE,1631,1:37 AM,MS-DOS,syndicate compelling schemas,45121,28714
Zooarchaeology,1630,4:41 AM,FMV,e-enable real-time infomediaries,39312,18591
Home Equity Loans,1831,2:24 AM,Aviation,iterate world-class synergies,40355,92937
Xerox Printers,1726,4:09 AM,Silhouette FX,enhance B2C users,79235,46745
IBM BPM,1500,4:02 AM,Pylons,utilize granular methodologies,92422,6550
eGate,1892,4:45 AM,VTune,enable plug-and-play applications,94972,55932
WSH,1779,4:44 AM,Oil &amp; Gas,synergize bricks-and-clicks initiatives,49321,23416
Yamaha PM5D,1657,2:32 AM,Blood Typing,cultivate frictionless e-services,98072,72942
GSS,1639,3:03 AM,NICU,transform best-of-breed infrastructures,21248,93018
Jewelry Design,1875,2:04 AM,Semantic HTML,exploit world-class synergies,8244,7655
Private Banking,1746,1:29 AM,Odyssey,productize interactive markets,72710,42488
VB5,1823,4:41 AM,Cement,innovate distributed e-services,56281,85254
BDC programming,1536,3:36 AM,CDPE,integrate virtual platforms,36236,64584
CFML,1666,3:04 AM,HP Quality Center,enhance turn-key infrastructures,53703,46393
Operational Efficiency,1665,1:38 AM,Mycobacteriology,streamline e-business bandwidth,38003,13198
AAUS Scientific Diver,1830,2:50 AM,PCR Primer Design,e-enable open-source communities,51996,15687
Turbo C++,1724,4:54 AM,Oilfield,productize clicks-and-mortar communities,81181,72862
GFI,1934,2:58 AM,Speech Writing,orchestrate back-end networks,54986,89065
OLE,1742,3:41 AM,CI,exploit impactful communities,14642,44654
Sleepwear,1951,2:33 AM,MPLS Networking,implement interactive deliverables,15244,7067
Regulatory Affairs,1602,2:15 AM,Record Keeping,deliver web-enabled niches,73955,40951
Kyoto Protocol,1618,4:28 AM,Program Evaluation,scale transparent experiences,95797,89444
MMIC,1632,1:21 AM,DFR,target one-to-one paradigms,85343,33369
Kung Fu,1503,3:57 AM,At-risk,syndicate sexy content,716,11331
Aquatic Toxicology,1705,1:47 AM,Book Illustration,monetize 24/7 action-items,21952,87147
Multi-channel Marketing,1985,1:34 AM,Unreal Editor,scale robust relationships,57606,93943
VM,1571,4:33 AM,Customer Satisfaction,cultivate collaborative networks,48057,77042
RRIF,1988,1:45 AM,Runway,disintermediate value-added eyeballs,59360,87125
Zoho,1519,1:39 AM,Swim Instruction,redefine seamless synergies,39756,66860
Business Objects,1877,2:06 AM,uClinux,strategize customized convergence,6512,36131
LDA,1508,4:17 AM,Banners,empower virtual content,68337,75724
HD Video,1725,2:50 AM,DBI,brand dynamic eyeballs,35170,56261
Chi Nei Tsang,2000,4:15 AM,Concept HDL,disintermediate synergistic infomediaries,6863,76172
Aquatic Ecology,1725,1:53 AM,ISO 9000,scale distributed schemas,69572,22679
Basel II,1700,2:57 AM,Occupational Health Nursing,brand front-end web services,27924,96541
IHE,1639,3:18 AM,Healthcare Industry,target dynamic e-markets,11446,78045
HMO,1717,3:54 AM,CBP,iterate interactive methodologies,8178,2483
MKS Integrity,1923,1:36 AM,Architecture,transform synergistic eyeballs,27481,13062
XML Gateway,1949,3:21 AM,Aquaculture,orchestrate global infrastructures,43231,5428
DoD,1965,3:30 AM,XML Sitemaps,engage open-source paradigms,40642,27212
Fashion Blogging,1604,4:56 AM,Administrative Law,enable dynamic technologies,14882,75552
OEMs,1994,1:48 AM,Object Oriented Software,revolutionize efficient markets,51716,5037
Top Secret,1684,4:50 AM,TMJ Treatment,syndicate vertical action-items,80288,86005
