comment,rank,Movie_Id,User_Id,Date
protocol,3,20697,55346,1969-01-24
Graphical User Interface,4,65070,43969,1974-11-25
Open-source,5,91117,24219,1977-10-05
maximized,4,56163,10779,2015-10-07
systemic,2,49423,37581,1963-06-30
coherent,4,25246,5049,1962-07-14
Graphic Interface,1,53325,6924,1953-10-26
upward-trending,5,38064,4491,1981-01-25
Exclusive,3,54621,1227,1978-03-30
Mandatory,3,68457,62172,1967-03-09
hardware,4,53602,4869,1960-11-16
moderator,4,9011,77479,1979-03-10
human-resource,2,26252,47483,1958-10-10
Profit-focused,3,95145,79540,1980-11-22
open architecture,3,11281,76969,1995-10-09
tangible,1,83332,4994,1961-06-07
Vision-oriented,1,41818,85488,1977-08-05
Team-oriented,4,69645,81333,1976-05-16
model,1,26170,47512,1964-12-24
Advanced,2,21595,73382,1972-07-19
Persistent,3,36482,80504,2002-12-18
3rd generation,2,74835,30926,2016-09-25
project,2,17718,35261,2013-01-02
intermediate,3,2006,1470,2001-07-21
system engine,5,81885,70949,1982-01-16
neutral,1,64641,31102,1981-08-04
Proactive,5,34469,30371,1997-05-18
needs-based,1,90261,71266,1983-03-17
product,4,52478,95681,1998-04-11
uniform,2,34799,91473,1966-09-11
Progressive,4,3885,20534,2004-05-08
Persistent,2,38071,32834,1994-08-01
algorithm,5,8457,63353,1955-04-28
Future-proofed,5,6931,9512,1969-01-16
Synergized,1,14084,51600,1998-12-02
parallelism,3,37446,67337,1961-02-21
static,2,12390,30652,1955-12-11
foreground,5,4228,62878,1957-09-17
contingency,3,59647,82086,1954-04-22
software,2,37736,66672,1999-05-07
zero tolerance,5,93619,92335,1990-05-16
hardware,5,14501,41659,1955-03-13
policy,1,23489,36083,1956-03-09
multi-tasking,5,65944,98762,1974-08-16
cohesive,4,7368,65027,2015-06-07
synergy,1,86467,51613,2004-07-26
protocol,2,42804,77025,1980-03-13
bottom-line,1,79792,21590,1950-08-25
global,5,45739,77991,1973-04-17
intangible,2,3058,86120,2010-02-07
real-time,4,53935,25225,1959-10-21
Optional,1,66191,78460,1968-03-18
Devolved,5,70836,79062,1997-07-02
zero administration,1,32710,8384,2000-01-12
bifurcated,5,27333,85141,1972-05-08
content-based,5,37475,54675,1995-09-23
structure,4,44207,84726,1990-03-10
open architecture,3,56568,21360,1997-05-17
Cross-group,3,73307,40595,1978-09-20
Visionary,1,89563,82442,1992-01-01
Synergized,5,2597,62810,1951-08-17
hierarchy,3,79414,62139,2010-07-26
optimizing,4,12476,23767,2000-07-13
6th generation,2,33506,87824,2002-01-02
encryption,1,71668,10176,2000-09-15
application,1,14703,49132,1998-03-11
optimal,4,9024,41620,1997-03-06
high-level,4,88518,40819,1980-01-22
Optional,4,39821,19013,1970-11-08
User-friendly,5,88994,20183,1993-11-04
Synergistic,1,18895,59562,2002-04-14
throughput,3,45332,94403,1963-09-22
Intuitive,4,69791,88602,1976-01-23
alliance,5,41855,41726,1981-02-20
solution-oriented,5,46200,89418,1974-01-22
modular,3,17462,44031,1959-02-18
extranet,2,64678,83320,2000-08-27
explicit,5,82266,63215,2002-01-27
Graphical User Interface,2,8148,95637,2008-11-05
firmware,4,67371,50281,1978-02-02
regional,4,94926,61140,2011-07-06
Proactive,4,88228,83151,1964-06-08
object-oriented,3,48974,23762,1979-08-04
projection,2,9377,74267,1952-08-03
adapter,1,43388,38083,1992-08-03
Cloned,4,486,3688,1990-11-05
cohesive,2,66525,31,2011-06-25
Reactive,4,21247,26087,1983-12-06
Compatible,4,64623,30509,1953-12-16
Persistent,3,52940,17871,1997-02-27
extranet,3,7691,78229,1970-04-13
Diverse,5,16561,54433,2015-07-13
3rd generation,1,58589,18933,2013-06-12
Integrated,5,60166,75891,1977-05-23
Pre-emptive,1,97106,61385,2002-01-14
Switchable,3,41475,75167,1959-07-07
adapter,5,39418,32977,1962-04-11
complexity,2,70017,1570,1997-09-24
hybrid,4,61880,37440,2017-01-25
leverage,1,13360,47995,1966-08-12
implementation,4,96199,58985,2004-05-14
Multi-layered,1,66178,93815,1983-03-01
dedicated,3,46642,31056,1964-06-10
didactic,5,95974,44681,1997-09-22
Balanced,5,50793,73405,1996-09-14
extranet,2,2680,79787,1956-11-09
composite,2,19547,961,2010-06-29
Ameliorated,4,73708,4498,1993-02-05
definition,4,38155,7974,2004-10-15
multi-state,5,87352,38151,2014-07-19
neural-net,5,1025,49456,1980-02-29
Synergistic,2,44306,56210,1967-12-22
hub,2,91592,37072,1996-07-30
disintermediate,2,21574,10012,1993-05-15
asynchronous,5,47885,12599,2002-11-29
Graphical User Interface,2,68211,23487,1999-06-06
website,4,4141,84259,1959-08-21
forecast,1,11001,98700,1989-01-29
hardware,5,71102,50368,1964-04-05
Centralized,3,28379,54581,1962-03-06
software,3,89774,3760,1950-09-26
demand-driven,5,70015,26689,1995-06-07
Balanced,2,75468,89808,1956-10-19
Balanced,1,63238,18014,1987-05-21
Virtual,4,98358,14297,1999-07-11
analyzing,5,93574,53455,1986-04-30
stable,3,41400,29171,1964-02-15
Polarised,3,78106,70947,1972-03-28
asynchronous,3,87595,53925,1987-11-15
paradigm,4,56833,46022,1993-07-10
Fully-configurable,2,17226,4405,1953-09-06
local,5,46116,15975,2005-10-11
Customer-focused,4,28257,54418,1988-01-28
intranet,2,669,48563,1997-12-16
Quality-focused,2,30424,35710,1956-02-04
multi-state,4,10444,86531,1954-06-17
incremental,4,10039,96988,1970-12-09
intranet,4,13086,98705,1985-08-30
multimedia,5,19718,180,2012-10-13
attitude-oriented,1,17542,25336,1999-05-30
asynchronous,3,83552,7548,2008-09-22
Universal,4,43459,39777,2016-08-29
upward-trending,4,49981,20157,1980-01-20
Profound,4,5241,56808,2006-07-28
software,1,90777,88300,1969-04-29
parallelism,5,97439,84842,2007-03-28
client-driven,5,31387,13634,1977-08-02
user-facing,5,17832,10710,2015-01-20
web-enabled,1,13106,48311,1972-11-15
Monitored,1,62934,41827,1956-12-05
Visionary,5,22504,15048,1973-02-12
Polarised,3,47898,38146,1968-06-04
Future-proofed,3,76813,25536,1981-05-14
object-oriented,5,10382,31692,2010-10-28
Secured,5,7143,70253,1950-05-25
Synchronised,2,92250,7482,1950-11-16
hardware,2,45212,44926,1957-03-08
disintermediate,4,84295,93120,1967-05-09
product,4,76611,69915,1956-06-27
global,5,65826,69690,1980-02-19
algorithm,1,17339,17439,2008-06-22
Enhanced,3,73366,59880,1969-02-11
time-frame,3,65168,52525,1971-01-19
moratorium,2,20488,44686,1971-04-01
hybrid,1,78251,60976,1981-07-14
24 hour,2,87144,4265,2013-12-14
static,5,62369,22436,1964-05-19
Cloned,2,92879,42822,2012-03-05
dynamic,5,23058,92313,2013-02-13
5th generation,5,29358,94244,1976-02-13
Organized,3,59481,64468,1978-10-06
Multi-channelled,5,948,33213,1963-07-14
neutral,2,38883,64990,1988-09-10
capability,1,88714,75192,1988-04-25
Persevering,2,61193,96271,2004-07-02
Reverse-engineered,5,67309,57934,1965-12-07
Extended,2,38985,56743,1984-06-10
Multi-layered,2,98610,77017,1968-10-17
middleware,4,68908,1869,2011-08-22
Persevering,3,48370,68823,2014-06-20
bi-directional,1,15295,33834,1985-04-25
portal,4,67556,96682,2001-03-12
Reverse-engineered,4,35238,47745,1953-01-31
Future-proofed,3,47883,43082,1968-04-09
Public-key,4,71689,60221,1967-02-06
6th generation,1,37478,63402,1968-08-28
software,4,20953,45415,1982-06-11
transitional,4,67645,58047,1993-06-11
Distributed,5,52019,4490,1957-10-29
paradigm,5,72852,6459,2014-04-25
Automated,1,88222,42816,1952-07-01
time-frame,1,37640,71369,1977-06-17
Organized,4,74298,70033,1984-01-11
Face to face,5,94203,90615,2016-04-12
definition,2,52271,58895,1978-08-20
empowering,1,93807,81008,1991-02-01
human-resource,1,63492,63527,1977-01-07
intangible,1,13749,92866,2004-06-20
Optimized,2,34286,68764,1982-05-30
static,5,13687,74260,2012-03-02
