comment,rank,Movie_Id,User_Id,Date
Adaptive,4,30047,24097,1976-05-28
functionalities,5,88291,63677,2002-07-17
application,3,34532,45297,1999-01-08
Digitized,4,76047,32463,1951-10-14
hardware,4,3367,54222,1999-09-09
Stand-alone,2,83041,85284,1972-03-02
didactic,3,52190,80332,1983-10-02
value-added,1,24561,68609,1953-10-27
non-volatile,4,2983,72930,2005-03-12
Compatible,5,73744,88492,1974-11-22
open system,3,18420,38293,1952-06-09
empowering,3,56409,22302,2003-08-21
Compatible,3,39994,47039,1956-06-13
Assimilated,5,28492,25479,1986-11-25
Networked,4,87403,23377,1954-01-19
context-sensitive,4,92161,64719,1989-12-09
open system,5,91290,77476,1977-11-26
intranet,5,81913,64495,1992-01-02
access,1,29034,72408,2008-06-16
system-worthy,1,28701,55921,1996-07-18
Re-engineered,2,94360,50861,2013-06-22
time-frame,3,52860,14338,2015-05-10
impactful,1,98096,20142,1965-04-26
mobile,5,91744,37050,2010-06-15
Multi-tiered,1,81430,81469,1970-08-31
zero tolerance,3,4540,89085,1968-05-28
Fundamental,4,37632,25719,2003-05-27
Robust,4,14139,34375,2006-01-07
Pre-emptive,2,60438,78593,1976-04-05
homogeneous,3,19370,75892,2017-01-28
Multi-tiered,2,65079,9294,1983-06-16
client-server,5,73615,130,2006-06-02
interface,1,80030,15038,1969-06-12
Streamlined,5,34177,2046,2008-07-18
benchmark,2,49669,25922,1960-10-24
system-worthy,5,95301,99012,1989-05-03
Synchronised,4,94030,44705,1971-07-28
methodical,5,60359,42033,2011-11-05
Optimized,1,24494,64706,1955-06-02
Secured,5,12773,50050,2005-05-05
Future-proofed,4,31831,61369,2009-11-03
website,2,50281,87515,1995-04-21
hierarchy,3,56536,76492,2011-03-14
full-range,2,31125,7265,2001-07-03
directional,3,28049,76724,1998-10-15
Monitored,5,36575,82497,1957-09-22
Grass-roots,4,91121,55504,2009-02-08
function,2,9425,27125,1997-10-15
challenge,3,12472,35880,1989-06-11
Business-focused,3,32449,4885,2016-09-26
4th generation,1,14050,88878,1980-05-23
Streamlined,4,66987,84152,1956-02-13
Progressive,5,52876,23230,1992-07-07
analyzing,5,4267,33139,2011-01-16
budgetary management,1,89552,63439,1993-09-24
forecast,2,29075,37412,1985-01-14
Decentralized,5,86255,98007,1992-11-25
hardware,4,64459,92261,1978-09-26
orchestration,5,55517,45883,1980-04-16
Multi-channelled,4,91363,73183,2011-03-30
Organic,2,55142,90404,1987-02-09
Quality-focused,3,73424,10781,1951-10-24
Cross-platform,3,48763,14818,1957-01-08
conglomeration,3,94894,48603,2003-02-20
Adaptive,1,54449,76164,2003-10-26
approach,5,71818,51081,1978-03-07
intermediate,3,29155,10527,1968-08-07
multi-state,3,81630,36736,1995-02-24
4th generation,5,18199,80207,1958-06-23
explicit,2,14147,45885,2016-01-28
system-worthy,2,76286,19435,1954-04-15
Virtual,3,63355,3150,1983-04-29
Reduced,2,53661,50892,1979-09-29
clear-thinking,2,97362,86058,1950-11-26
Automated,3,8510,83999,2006-08-11
demand-driven,3,1470,77535,1965-11-23
leverage,1,20414,45002,1991-08-29
Right-sized,1,79485,76612,1969-12-26
Managed,4,9839,37,1989-10-04
encompassing,3,66571,3543,1954-05-06
Object-based,2,13600,84388,1972-02-08
model,3,68712,61349,1984-07-12
standardization,1,45445,67357,2002-12-24
mobile,2,67023,88218,2013-06-21
Graphic Interface,3,77427,66111,2000-10-01
Ergonomic,5,57775,52157,2014-06-23
access,3,954,72985,1960-01-14
Cross-group,5,28383,76247,1957-04-16
Sharable,1,94370,48569,1987-11-27
extranet,1,43948,61861,1956-03-26
Business-focused,1,565,45178,1962-07-22
dynamic,2,30716,16059,1998-01-30
contingency,2,78668,89422,2008-08-31
Grass-roots,5,38188,28327,1963-10-28
Proactive,5,57613,92174,1951-07-27
emulation,4,11173,88251,2016-02-15
artificial intelligence,2,82257,26874,1966-08-04
contextually-based,4,38668,87342,2012-08-20
Open-architected,2,42352,3003,1971-01-22
Team-oriented,3,59628,36364,1969-03-20
mission-critical,5,19034,27275,2012-07-20
encompassing,1,87616,12580,1975-07-01
frame,1,23326,14972,2003-09-22
Ergonomic,3,85670,31742,1985-11-28
Diverse,2,24561,30344,1964-08-04
Quality-focused,3,50129,71718,1966-08-27
analyzing,5,16764,84176,1958-04-12
flexibility,3,66718,7881,1998-07-22
Multi-layered,3,66317,16739,2002-04-23
firmware,1,59570,75433,2006-01-24
multi-tasking,3,86242,26395,1964-04-29
Organic,3,25761,87947,2003-06-28
grid-enabled,5,43528,42984,1997-03-06
hub,4,80820,48018,1991-01-30
Balanced,5,93101,50007,2016-03-24
contingency,3,45319,30632,1959-04-20
implementation,3,33982,11578,2016-08-07
conglomeration,1,77845,60195,1959-07-18
asymmetric,1,95901,22390,1966-08-11
solution,5,49318,88688,1964-05-01
bottom-line,3,54145,19833,1981-08-22
capability,3,98754,86489,1966-12-13
complexity,4,2877,51045,1969-08-29
Cross-group,2,76219,80288,1973-08-01
mobile,1,24080,31640,1970-01-11
Up-sized,5,66202,22260,1958-12-28
infrastructure,3,787,87430,1956-10-22
User-centric,4,15391,41800,1996-11-14
methodology,1,68384,7313,1964-03-01
infrastructure,2,24060,85525,1993-03-11
Secured,2,81975,69260,1967-01-13
concept,4,34906,20229,2001-03-12
complexity,5,76556,85234,1970-10-17
projection,5,15739,63683,1996-09-13
human-resource,3,19761,27624,1962-05-30
neural-net,3,87321,314,1972-07-12
support,5,9134,63588,2016-12-20
pricing structure,4,10877,83793,2003-01-18
24 hour,4,78257,4804,1950-04-29
zero tolerance,3,47243,75030,1977-10-31
maximized,4,80548,57337,1999-02-25
regional,1,87840,56363,2010-04-21
executive,2,75829,78319,1968-11-10
multi-tasking,3,41801,13668,2009-07-30
Monitored,3,71598,29172,1981-06-09
Total,5,43739,31640,1992-07-12
Streamlined,5,50639,3584,2007-03-09
Configurable,4,25181,1507,1962-03-08
ability,1,59861,36142,1983-05-24
Proactive,1,78187,32047,2005-11-26
encompassing,4,12382,982,2001-09-12
Focused,3,58569,7565,1994-06-28
analyzer,3,42583,29429,1988-08-17
Fully-configurable,1,14717,8842,1979-01-14
definition,1,53885,9609,1973-04-11
standardization,2,81798,60199,1971-03-18
Enterprise-wide,3,5179,43552,2012-10-04
tangible,4,17192,18932,1982-05-14
hub,5,38643,57882,2009-01-08
human-resource,1,64982,9235,2006-02-27
next generation,3,84734,4495,1968-10-01
Polarised,5,9670,59023,2012-06-22
incremental,5,26068,26505,1985-03-17
approach,3,30285,98260,1989-08-28
Assimilated,5,66543,8213,1986-05-13
multi-state,4,21636,78055,1999-06-08
bifurcated,2,9790,19618,1991-04-22
stable,1,36863,4268,1971-02-12
object-oriented,3,45543,84693,1986-11-20
needs-based,4,16678,63807,2003-10-18
Right-sized,1,65267,44107,1996-08-23
radical,3,28579,71079,2007-02-26
Total,4,62636,1531,1999-05-21
local area network,5,77139,7221,1981-07-06
human-resource,4,86603,38774,1960-11-03
conglomeration,1,43863,51385,1980-02-23
parallelism,3,43679,6536,1971-07-02
3rd generation,3,7060,97184,1997-06-13
throughput,1,98273,40459,1970-09-18
Integrated,3,86258,30288,1993-09-30
encryption,1,75427,70854,1978-03-04
secured line,2,16949,50249,1971-05-15
policy,5,4224,25876,1965-07-03
needs-based,3,5189,42125,1992-02-26
attitude-oriented,2,84269,64810,2014-09-02
Upgradable,1,55585,81935,1962-03-02
Mandatory,2,73282,10339,1954-09-10
bandwidth-monitored,4,71595,21166,1996-09-24
client-server,3,87405,23805,2010-09-02
moderator,1,85837,86863,2000-08-09
firmware,5,29201,68664,1977-12-23
orchestration,1,14683,61165,1956-07-25
hardware,3,64556,857,1957-12-27
logistical,2,29606,61178,1981-09-25
initiative,3,76756,55247,1952-04-28
contextually-based,1,4152,73838,1963-11-26
policy,5,56625,12146,2008-04-05
archive,1,55004,88629,1950-09-20
optimal,5,44440,59982,1998-12-19
client-server,4,82657,61800,1996-10-01
website,1,7772,12759,1952-06-17
Self-enabling,1,42586,26946,2002-11-28
Enhanced,2,93801,39213,1975-01-28
Sharable,2,81692,59020,1963-12-15
monitoring,1,44646,55917,1958-10-21
Optional,3,90398,54226,1997-10-21
Distributed,2,2003,45288,2014-03-02
matrix,1,34724,51630,1976-08-31
time-frame,5,93630,90086,1996-08-25
human-resource,2,76392,19877,1979-10-31
capacity,3,30681,94905,1971-04-10
Balanced,1,46715,76654,2009-01-19
Devolved,4,7610,13614,1964-05-03
bandwidth-monitored,4,91954,15372,2010-07-01
bandwidth-monitored,4,94722,21322,1972-04-13
definition,5,74361,29818,2008-12-20
next generation,2,69533,73495,2010-09-06
multi-state,2,44772,35466,1987-09-14
Inverse,4,87071,53964,2008-07-15
info-mediaries,3,33791,53014,1960-06-21
hub,1,83037,37771,1967-03-13
Persistent,1,19542,93019,2015-02-20
synergy,4,93145,79314,1956-09-13
core,1,10298,69195,1992-10-05
systematic,1,13065,91150,1950-12-25
composite,1,44897,97545,2012-11-23
Front-line,3,86719,5864,2015-07-09
regional,3,83666,79734,1982-09-30
Expanded,5,64612,50275,2012-01-29
Open-architected,1,90029,36320,1994-04-08
Enterprise-wide,3,87300,82978,2015-01-20
4th generation,4,94997,25733,2013-04-05
Open-source,1,22724,38645,1976-08-25
Organized,1,50275,89703,1954-08-01
hardware,2,7046,27435,1990-07-28
foreground,4,68121,78272,1998-01-08
fault-tolerant,2,45287,46677,1981-05-14
Optional,2,76232,31727,2008-10-05
Automated,1,35197,90073,1974-01-15
productivity,4,9169,77270,1962-09-23
product,3,91221,1701,2003-10-10
needs-based,3,30101,75551,1961-08-15
migration,2,50927,95517,2003-09-20
regional,2,93278,70801,2004-12-29
approach,5,18889,78816,1956-10-06
matrix,2,98151,53042,1990-09-07
Optional,5,98300,48495,2011-12-12
exuding,3,848,63998,1996-01-06
Public-key,1,91462,5788,1979-12-22
Advanced,5,54859,87025,1986-09-10
multimedia,5,19890,59550,1986-07-16
methodology,4,95786,82979,2001-11-13
emulation,2,36483,70098,2003-07-10
Re-engineered,1,34877,98291,1970-07-02
system engine,3,1830,25160,2006-10-13
Organic,3,76042,53787,1968-03-25
radical,5,81013,8774,1998-07-27
fault-tolerant,3,97893,28252,1991-10-23
parallelism,5,77025,18313,2005-02-20
Grass-roots,4,92424,92109,2017-01-25
encryption,5,41508,31933,1979-02-18
hybrid,2,71600,2182,1993-04-03
Quality-focused,2,23842,32597,2007-01-19
asymmetric,1,84169,72065,1971-10-30
well-modulated,3,27305,3008,1959-04-05
logistical,1,31809,34734,1983-09-19
collaboration,1,57983,83464,1985-01-21
exuding,5,61811,28077,1976-09-18
database,5,55523,13662,2015-01-13
grid-enabled,5,61791,37690,1973-06-27
intermediate,3,60116,28932,1953-06-24
architecture,3,6459,37884,2005-09-10
protocol,4,42779,7616,1973-09-25
definition,5,17653,51035,1984-02-15
bandwidth-monitored,4,53681,7171,1999-01-21
3rd generation,1,30643,91294,1963-02-23
firmware,4,29500,39047,1960-10-29
secondary,1,22205,27134,1990-05-10
collaboration,4,465,15769,2004-04-18
definition,5,12995,89803,1991-06-06
context-sensitive,4,7156,15566,1958-03-22
leverage,2,21451,55123,2006-08-31
Digitized,5,8061,17053,2013-10-18
implementation,2,8844,94698,1986-10-04
strategy,5,14379,77361,1967-03-22
Progressive,3,27055,57703,1967-12-01
Multi-tiered,5,50923,85813,1984-11-06
Self-enabling,2,84945,1912,1969-05-24
Compatible,3,53741,32546,1965-08-25
groupware,2,55879,30598,1987-02-04
Face to face,1,77883,31060,2017-04-17
Distributed,3,97162,60008,1980-01-13
capacity,5,96019,94975,1964-03-20
Triple-buffered,4,26738,28524,2016-01-12
Advanced,4,87410,56839,1959-05-11
