comment,rank,Movie_Id,User_Id,Date
directional,4,47326,60405,1974-06-07
Multi-lateral,1,49554,67186,2014-03-07
superstructure,4,36603,76775,1953-03-07
Exclusive,2,25098,33070,1963-06-06
project,1,39494,87267,1986-08-26
hierarchy,5,47248,80285,1977-02-11
frame,5,5520,47914,2000-11-30
Centralized,1,51277,45315,1988-03-22
Advanced,3,29090,3415,1979-10-24
modular,1,12703,43199,1990-09-12
middleware,2,45175,85322,1950-12-01
dynamic,2,53659,60264,1992-06-12
Fundamental,3,97626,33278,2012-06-06
Operative,3,13397,37334,1961-07-22
functionalities,4,78602,81956,2017-01-14
interface,4,26197,93516,1982-11-07
zero tolerance,2,90725,70480,2015-01-23
encompassing,1,36361,93029,2011-03-31
solution,3,50735,56838,2014-08-17
data-warehouse,1,28104,25084,1983-11-02
optimal,3,15040,69685,1994-06-18
projection,3,81200,52596,1997-11-15
orchestration,1,8552,90020,2013-11-11
Automated,1,39985,37910,1962-11-16
orchestration,1,22699,18693,1959-01-19
Visionary,2,51801,74630,2011-04-19
Realigned,5,27470,65152,1979-04-23
Profound,1,45607,20321,1965-08-26
Down-sized,1,12944,94970,1951-12-05
Progressive,1,81061,2246,1953-12-01
hardware,2,80355,52093,1997-01-18
discrete,2,19700,21525,1952-06-17
moderator,4,76305,84296,1957-09-15
groupware,5,60775,3927,1954-08-25
Diverse,5,7903,63836,1998-01-04
function,4,4546,25978,1956-07-16
Grass-roots,1,85979,21964,1984-11-14
Inverse,3,47845,92283,1995-10-03
Inverse,1,68745,63571,1982-12-09
demand-driven,4,49133,26929,2003-01-22
Upgradable,4,19520,4212,1976-07-19
Expanded,5,31434,14066,1952-10-17
superstructure,5,78222,78036,1983-07-18
architecture,2,58118,86600,1998-01-20
circuit,2,89037,7405,1990-02-20
paradigm,5,30091,10919,2005-12-02
Multi-channelled,1,73060,25117,1978-08-10
Compatible,5,57202,92902,1967-10-18
Universal,2,77075,39719,1969-11-19
radical,5,65534,26691,1977-02-15
complexity,2,19135,24416,1993-04-03
motivating,4,75370,72102,1967-05-03
service-desk,2,69525,30121,2008-09-08
productivity,3,54080,15619,1984-12-14
human-resource,1,9324,64670,1955-02-15
framework,3,98668,36517,1996-10-14
Object-based,3,96432,26287,2011-04-18
Stand-alone,3,11288,19505,1958-07-03
User-friendly,1,87447,10071,1956-12-26
Stand-alone,2,60425,6024,1985-07-18
24 hour,4,37684,83006,1978-06-20
Enhanced,1,95916,4691,1992-03-02
6th generation,2,92803,52375,2011-02-20
hardware,4,96133,78492,2014-12-02
Streamlined,2,63017,11192,1960-09-08
instruction set,3,10894,26670,2011-06-25
Cloned,1,52923,29655,2012-02-09
heuristic,5,66469,53202,2007-06-16
interface,2,6807,68276,2005-12-01
groupware,3,57803,96695,2016-07-26
systemic,4,23270,12263,1972-05-31
Devolved,5,81312,29183,1986-04-20
Digitized,1,34319,27116,1971-06-25
process improvement,1,7492,82670,1960-04-24
system-worthy,2,5108,52577,1955-05-12
Centralized,3,24791,36283,2010-11-29
maximized,5,22606,76057,1954-11-17
logistical,5,17990,48547,1969-11-20
initiative,1,48313,72448,2004-10-27
Decentralized,3,8617,48225,1979-10-13
Progressive,4,69465,88188,1962-01-04
software,3,68234,11563,1957-06-12
function,5,67196,22425,1973-10-01
composite,5,26981,7475,2011-07-21
disintermediate,3,31901,31976,1980-06-09
value-added,1,66271,22031,2015-08-14
zero defect,5,50139,6891,1972-11-22
Multi-channelled,4,28588,35796,2013-07-22
Distributed,2,31319,40885,1967-07-15
static,1,69801,17437,2001-01-19
initiative,1,74442,60355,1987-05-03
Monitored,3,53094,83563,2016-06-12
logistical,4,31054,68128,1990-03-20
installation,2,34632,72771,1999-06-21
even-keeled,2,7578,50427,1954-05-19
intangible,4,56407,43805,1977-11-01
zero defect,2,70615,13376,1977-10-23
responsive,2,14979,95406,2011-08-03
solution,1,22920,74648,1991-05-06
needs-based,2,13485,43774,1959-04-24
throughput,2,22938,47640,2007-09-04
User-friendly,1,80587,17750,1994-04-02
Customer-focused,5,32057,72975,1983-01-07
local area network,1,91908,29318,1998-10-17
circuit,3,17174,71843,1962-08-11
matrix,4,68344,13980,2013-06-18
support,4,20579,37767,1989-03-29
encoding,4,39116,28956,1980-03-12
Public-key,3,79227,37101,2012-10-27
zero administration,4,17929,68044,2012-09-27
Polarised,5,66536,69291,1982-03-20
scalable,3,32468,87683,1953-12-09
cohesive,4,8524,61408,1999-05-21
architecture,4,3940,66831,2004-04-27
Self-enabling,3,69581,87748,1961-10-28
Cross-group,5,69559,45925,1978-02-21
Innovative,5,38824,99014,1962-08-20
Customizable,3,71670,60426,1955-08-11
Fundamental,5,29707,76221,1978-05-31
Fundamental,3,49991,5419,1964-06-25
3rd generation,1,68414,51244,1982-08-25
strategy,2,25833,76352,1995-04-02
Inverse,4,28500,49113,1979-06-16
contextually-based,2,37522,39941,1951-03-09
initiative,3,91946,65464,2013-06-30
model,4,68242,47262,1951-07-19
Advanced,5,97054,56656,2002-10-17
Automated,2,80812,15587,1978-01-20
core,4,65511,59563,2014-10-20
