comment,rank,Movie_Id,User_Id,Date
Automated,2,32927,19165,1995-10-24
collaboration,3,8863,31456,1984-06-14
Focused,2,29668,71432,1964-08-24
Polarised,4,66591,81945,1993-08-17
coherent,1,35990,15326,1994-09-13
attitude,4,77381,75927,2017-02-08
bi-directional,5,1537,17297,1985-10-17
software,2,20095,12463,1982-03-05
methodology,4,92227,92367,1958-01-05
responsive,3,72293,82770,2011-10-20
intangible,5,97233,68669,1990-12-08
systemic,1,38113,98529,1968-12-25
3rd generation,1,61163,55426,1979-04-09
User-centric,3,41916,14656,1959-04-28
Reverse-engineered,1,67932,77241,2005-09-22
Universal,2,65691,19582,1984-05-13
infrastructure,1,77805,2185,2000-11-08
middleware,5,37200,21708,2006-12-11
secured line,3,22368,32279,1983-04-15
full-range,4,20385,36654,1978-10-15
migration,2,10202,24347,1990-07-21
Monitored,5,78214,75030,2009-04-28
Profit-focused,2,88530,58927,1954-07-07
composite,4,41197,95130,2008-07-28
Profound,3,33713,11113,2004-10-02
Cross-platform,1,54923,12455,1969-04-30
Secured,5,16699,95471,1952-07-21
Open-architected,4,16775,45235,1968-11-08
Cross-platform,4,66733,72573,1967-07-07
customer loyalty,5,54535,35623,2001-02-21
Enterprise-wide,4,71451,30923,2010-07-27
Assimilated,4,39592,97623,2003-09-07
project,5,52862,31968,1982-06-04
installation,5,27109,63267,1980-09-06
Expanded,2,46127,29335,1964-09-02
product,3,14418,11286,1957-11-29
core,1,85028,41104,1955-03-12
neutral,1,47481,16590,1996-12-09
Seamless,5,58680,65227,1971-09-29
demand-driven,1,96267,66795,2003-08-03
User-friendly,5,74248,372,2011-01-02
uniform,1,90682,64450,1963-06-22
high-level,1,9836,75620,1978-08-16
task-force,5,62728,48565,1998-08-18
definition,1,97148,61298,1982-02-04
zero tolerance,1,10064,54318,1968-10-14
even-keeled,5,18835,23097,2003-12-22
success,2,53372,64266,1958-06-20
Compatible,3,85244,69772,1980-09-20
service-desk,5,63706,73232,1953-07-02
Progressive,4,40050,57657,2004-07-06
help-desk,1,70262,58079,1996-02-29
knowledge base,2,50666,87338,1952-05-01
Assimilated,5,29010,23458,2001-04-24
hub,2,39495,78736,1971-04-04
grid-enabled,3,46271,39039,1989-07-01
even-keeled,4,37618,61719,1957-04-08
heuristic,1,13965,91343,1997-07-24
uniform,2,79695,52163,1975-09-29
coherent,4,76290,24274,1996-11-05
Multi-layered,1,53284,33777,2012-01-31
Reverse-engineered,3,21887,64851,2006-01-06
Synchronised,3,39298,83366,1976-05-12
didactic,5,64260,12904,2001-11-11
Operative,5,36172,61752,1962-11-14
access,4,86364,62242,2005-03-16
Innovative,4,78539,91780,1999-06-05
neural-net,3,9805,300,2014-12-18
reciprocal,4,29504,19489,1988-05-21
Customer-focused,5,12149,25685,1971-09-21
knowledge base,2,78505,7557,1974-11-08
eco-centric,1,91414,62779,2014-12-09
system engine,5,53205,18028,2002-11-14
methodology,1,93052,76636,1999-03-29
De-engineered,5,65329,48076,1964-08-11
paradigm,4,6571,12987,2000-12-22
attitude,2,92220,10017,1992-10-24
directional,4,42892,26362,2016-06-24
Reverse-engineered,5,81540,80418,2007-03-06
neutral,2,66210,30346,1957-04-20
flexibility,3,82579,59602,1984-07-04
Cross-group,3,4400,18634,1968-11-26
bifurcated,4,61437,62191,1967-02-03
coherent,2,89597,26663,2015-02-23
core,2,53245,81572,1977-01-10
motivating,2,93931,78694,1999-05-16
Networked,2,72934,35624,1981-06-06
foreground,1,33731,96433,1964-05-12
task-force,5,13424,90848,1955-08-23
installation,2,43017,60709,2011-06-01
hardware,3,14609,63008,1992-03-03
demand-driven,1,23436,12238,1950-08-04
time-frame,4,82750,73429,1956-08-01
artificial intelligence,5,76302,52818,2016-10-15
customer loyalty,3,25875,4138,2008-07-04
actuating,3,84146,76664,1950-05-31
attitude-oriented,1,11658,50646,1964-09-06
systemic,3,39896,52917,1989-10-08
mission-critical,1,61981,83396,1962-06-25
Future-proofed,5,24128,29552,1951-02-08
model,2,473,94848,2013-02-06
explicit,3,63680,66360,1979-06-12
Cross-platform,1,26879,8902,1984-12-27
Reduced,4,2027,69608,1968-03-08
exuding,2,30138,38711,1978-01-06
Re-engineered,4,971,60620,2014-05-19
clear-thinking,1,33362,32923,1985-03-17
Innovative,3,10578,73087,1951-10-19
solution-oriented,5,16934,92456,1994-01-17
Streamlined,2,50331,38042,2009-12-11
Distributed,4,72499,2792,1977-11-14
Devolved,2,14374,95926,1986-10-11
synergy,5,13419,7106,1968-11-02
bi-directional,4,61781,30514,1988-07-17
multi-tasking,4,17088,65305,1963-08-04
high-level,1,12330,82935,1954-02-20
Ergonomic,1,22744,32537,1997-12-04
homogeneous,4,15970,64459,2013-05-11
dynamic,2,90905,40633,1995-05-02
Future-proofed,1,64596,31162,1989-04-17
info-mediaries,3,50247,97165,1964-08-05
value-added,1,22572,75435,1954-11-14
product,1,62753,55490,1993-05-12
database,1,68847,68920,1979-03-09
24/7,4,88589,98627,2013-04-08
Progressive,1,96363,89396,1952-05-19
hub,2,36037,45948,1991-02-15
system-worthy,5,24145,59890,1983-12-06
zero administration,5,11465,33287,1994-08-29
Front-line,4,6979,37479,2006-02-22
incremental,4,54959,61703,1958-05-20
hardware,2,55589,82910,1986-09-16
bandwidth-monitored,2,38735,37071,2015-12-29
Upgradable,4,23739,5754,1983-12-16
multi-tasking,1,28845,93513,2012-04-02
superstructure,5,52113,78001,1973-12-04
24/7,3,71570,69385,2002-05-17
holistic,2,16903,75836,1977-01-29
monitoring,2,58245,36899,2015-01-15
Networked,5,85832,60739,2005-03-26
directional,5,84865,64863,1999-11-05
collaboration,5,64510,47296,2006-06-06
User-centric,3,21072,68209,1957-04-10
encompassing,1,53289,48284,1969-11-06
system engine,4,42062,19629,1995-07-14
Up-sized,3,10322,94296,1996-02-18
mission-critical,5,54229,16508,1982-09-21
maximized,5,65948,60006,1991-11-22
executive,1,61308,44962,1992-03-07
Managed,5,90441,93958,1957-03-27
interactive,3,57758,94906,1964-02-03
project,2,24336,24730,2011-09-22
moderator,5,62522,90040,1993-07-14
conglomeration,5,5947,83831,1958-06-28
tangible,5,57821,65072,1993-11-21
well-modulated,1,24393,50692,1956-05-13
Vision-oriented,1,95396,22069,1958-02-28
24/7,5,54442,53745,1962-07-25
data-warehouse,4,42980,91183,1993-11-15
Automated,1,83917,46659,1973-01-18
Inverse,5,12601,92632,1984-11-10
optimizing,1,28626,91861,1989-03-29
Horizontal,2,11165,70541,1950-06-13
multimedia,4,47588,9409,1967-11-15
encompassing,2,49315,65203,2013-10-20
paradigm,5,88254,76241,1962-04-05
User-centric,5,40553,48557,1959-09-25
zero defect,5,61359,89978,1982-05-29
projection,2,98462,9647,1976-07-24
service-desk,3,67369,43017,1983-05-25
Inverse,5,84700,20992,2011-01-01
content-based,5,41730,23602,1959-10-31
customer loyalty,5,46298,37448,1961-02-17
Sharable,1,19079,26254,1998-07-22
Optional,2,48452,65978,1989-10-11
extranet,5,69745,80408,1991-12-31
multi-tasking,1,24628,96241,1986-08-12
Optional,4,55357,50278,1961-02-25
Seamless,5,34274,6659,1981-10-10
time-frame,1,95573,86981,1960-10-13
bottom-line,2,71823,14494,2009-07-09
intranet,2,34017,60659,2016-06-09
holistic,4,39508,73419,1950-09-01
Function-based,3,57535,40813,1977-04-09
monitoring,5,22767,96202,2008-09-18
Vision-oriented,3,60660,23777,2008-07-13
framework,5,98646,18346,2008-03-23
Adaptive,1,43460,1207,1971-12-11
Ameliorated,4,46582,41932,2008-11-24
adapter,5,23728,82064,2002-12-19
local,4,46567,51245,1966-10-21
database,1,48182,47547,1951-04-10
background,2,78667,60693,2013-03-05
moderator,3,61989,6478,1959-11-24
Digitized,3,24662,58036,1967-11-21
framework,1,86748,23,1999-05-07
solution-oriented,4,28563,94912,2007-04-21
uniform,2,95358,13262,2001-05-02
secured line,3,57691,52110,2000-04-10
coherent,2,23796,699,2010-03-19
Business-focused,3,78909,64574,2009-05-30
upward-trending,3,61488,2489,1952-04-18
Proactive,4,87973,74923,1987-03-15
Multi-layered,1,1767,87665,1979-01-02
Implemented,1,77658,98603,1953-05-15
4th generation,2,91411,62743,1979-10-17
Networked,5,67476,22713,1986-06-27
application,5,24808,56308,1951-09-04
Extended,2,72100,5209,2007-11-16
even-keeled,2,64552,98589,1985-08-28
needs-based,3,68556,91842,1999-09-04
exuding,3,25351,15386,1988-09-21
flexibility,1,54747,63727,1978-03-02
workforce,5,42945,14677,2014-08-26
zero administration,4,73864,97307,1984-04-20
access,1,75957,45029,2009-09-14
Enterprise-wide,3,80624,90717,1964-02-22
portal,4,88701,2946,1990-06-26
mission-critical,2,56675,78933,2006-02-09
Streamlined,3,45689,39020,2010-11-26
De-engineered,1,14686,33712,1963-11-16
Intuitive,2,11646,90595,1998-06-18
customer loyalty,1,11579,39515,1987-11-16
Profit-focused,4,88529,34663,1952-07-01
Implemented,4,59086,71692,2003-01-20
well-modulated,2,4695,87221,2015-05-23
content-based,2,33293,48900,1969-05-28
attitude-oriented,4,2716,18232,1996-01-18
static,5,4914,20116,2011-11-07
Profit-focused,1,87130,8604,2005-12-31
Re-contextualized,4,46972,34909,1950-09-03
hybrid,5,73617,93087,1993-06-19
Digitized,1,36367,69615,2013-08-28
leading edge,1,96526,57844,1964-11-24
Digitized,2,47303,62480,1998-06-12
Profit-focused,4,47941,76226,1952-10-15
Organic,5,3762,78802,1981-03-30
Innovative,1,76687,7399,1989-02-26
intangible,2,96606,24928,1986-08-15
coherent,4,50879,81283,2013-06-29
Quality-focused,2,42837,27628,1997-12-09
full-range,2,90467,7289,2004-03-26
well-modulated,3,49524,41268,1963-09-01
scalable,5,86261,83978,1981-07-03
Enhanced,3,83706,73924,1998-10-09
Optimized,4,42254,89833,1953-07-22
secondary,3,67737,32113,1988-07-07
Diverse,1,65394,41257,1951-04-05
Re-contextualized,4,48965,71988,1990-05-19
Front-line,2,96113,27410,2003-12-18
complexity,3,49250,8016,1981-08-10
24 hour,2,34683,2990,1990-07-10
Managed,3,37484,41697,2014-07-03
regional,4,47687,17219,1974-06-22
neural-net,2,92170,93671,1969-07-03
Quality-focused,4,62669,92897,1951-04-27
groupware,3,28718,31506,2001-10-08
intermediate,5,39771,88769,1964-10-03
software,2,72621,31438,1994-05-22
high-level,2,49226,50570,1987-06-02
Persevering,2,91859,32717,1963-01-09
Open-architected,2,70121,24062,1995-12-07
Profound,5,27036,61468,1995-04-15
Optional,1,17403,50404,2013-03-06
Focused,3,21263,74334,1973-11-28
Versatile,2,17862,76030,1984-09-03
